A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Reptile,Chelonia mydas,1.50E+05,5.20E+06,5.176,6.716003344
A,Reptile,Chelydra serpentina,1.60E+04,1.83E+02,4.204,2.26245109
A,Insect,Cheumatopsyche spp.,1.76E-02,5.00E+03,-1.754,3.698970004
P,Protista,Chilodonella,1.00E-06,1.60E+01,-6,1.204119983
P,Protista,Chlamydomonas,2.00E-09,4.00E+02,-8.699,2.602059991
P,Protista,Chlorella,1.00E-09,4.00E+02,-9,2.602059991
P,Protista,Chlorococcalian,3.00E-09,6.40E+01,-8.523,1.806179974
P,Protista,Chlorosarcina,1.00E-09,4.00E+02,-9,2.602059991
A,Reptile,Chrysemys picta,5.75E+01,6.21E+02,1.76,2.7930916
A,Insect,Chrysochus auratus,1.00E+00,4.20E+03,0,3.62324929
A,Birds,Cinclus cinclus,6.42E+01,2.98E+04,1.808,4.474216264
A,Insect,Circulifer tenellus,2.00E-02,3.50E+05,-1.699,5.544068044
A,Birds,Circus cyaneus,5.13E+02,6.08E+04,2.71,4.783903579
P,Plant,Cirsium arvense,1.20E-03,11.35,-2.921,1.054995862
P,Plant,Cirsium palustre,2.00E-03,6.81,-2.699,0.833147112
P,Plant,Cirsium spinosissimum,1.66E-03,30,-2.78,1.477121255
P,Plant,Cirsium vulgare,2.64E-03,900,-2.578,2.954242509
P,Plant,Clematis virginiana,2.00E-02,3.23,-1.699,0.509202522
A,Reptile,Clemmys guttata,1.65E+02,2.65E+02,2.217,2.423245874
A,Reptile,Glyptemys insculpta,1.23E+03,6.00E+02,3.091,2.77815125
A,Reptile,Actinemys marmorata,1.20E+03,4.23E+02,3.079,2.626340367
A,Reptile,Glyptemys muhlenbergii,1.13E+02,2.50E+02,2.053,2.397940009
A,Mammals,Myodes glareolus,2.30E+01,4.00E+02,1.362,2.602059991
P,Plant,Cochlospermum vitifolium,2.48E-02,96,-1.606,1.982271233
A,Insect,Coenigrion mercuriale,3.30E-02,1.79E+03,-1.481,3.252853031
P,Protista,Coleps,1.00E-06,6.40E+01,-6,1.806179974
P,Monera,coliform bacteria,2.00E-14,1.20E+03,-13.699,3.079181246
P,Protista,Colpoda,1.00E-09,4.00E+02,-9,2.602059991
A,Reptile,Coluber constrictor,8.82E+01,2.29E+03,1.946,3.359835482
A,Birds,Columba oenas,3.02E+02,4.16E+04,2.48,4.619093331
A,Birds,Columba palumbus,4.90E+02,1.50E+05,2.69,5.176091259
P,Plant,Cordia alliodora,6.25E-02,140,-1.204,2.146128036
P,Plant,Cornus controversa,6.66E-03,42.5,-2.177,1.62838893
P,Plant,Cornus florida,1.01E-01,151,-0.997,2.178976947
A,Reptile,Coronella austriaca,4.81E+01,6.70E+01,1.682,1.826074803
A,Birds,Corvus corax,1.24E+03,1.15E+04,3.093,4.059941888
A,Birds,Corvus frugilegus,4.88E+02,3.45E+04,2.688,4.537819095
A,Birds,Coloeus monedula,2.46E+02,3.18E+04,2.391,4.50242712
A,Birds,Corvus corone,5.70E+02,3.55E+04,2.756,4.550228353
A,Mammals,Corynorhinus townsendii ingens,1.00E+01,3.00E+04,1,4.477121255
P,Plant,Couratari panamensis,2.36E-01,229,-0.627,2.359835482
P,Plant,Crepis biennis,3.50E-04,350,-3.456,2.544068044
P,Plant,Crepis capillaris,3.50E-04,650,-3.456,2.812913357
A,Reptile,Crocodylus intermedius,1.15E+04,1.16E+04,4.061,4.064457989
A,Reptile,Crocodylus johnstonii,5.30E+04,3.72E+04,4.724,4.57054294
A,Reptile,Crotalus horridus,6.60E+02,4.07E+03,2.82,3.609594409
A,Reptile,Crotalus viridis,1.73E+02,5.60E+02,2.239,2.748188027
P,Plant,Cryptantha flava,1.10E-02,31.3,-1.959,1.495544338
A,Amphib,Cryptobranchus alleganiensis,1.16E+03,9.90E+02,3.065,2.995635195
P,Protista,Cyclidium,3.00E-09,6.40E+01,-8.523,1.806179974
A,Birds,Cygnus buccinator,1.14E+04,1.28E+05,4.057,5.10720997
A,Birds,Cygnus olor,1.18E+04,1.14E+05,4.072,5.056904851
