"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A93_P1","LAT","Ter",0.0787618895133638,0.536145352797631,"25km"
"A98_P1","LAT","Ter",0.00209817986696703,0.200189365972175,"25km"
"A99_P1","LAT","Ter",0.0434162345060375,0.164651633595653,"25km"
"A99_P2","LAT","Ter",0.847130642173533,2.87534855836397,"25km"
"A99_P3","LAT","Ter",0.14778813847348,0.471610876111743,"25km"
"B471_P1","LAT","Ter",1.42880626073247,3.68065190711299,"25km"
"B475_P1","LAT","Ter",0.412862929934636,0.366262863746916,"25km"
"B476_P1","LAT","Ter",0.487925925025284,1.34789078015322,"25km"
"B488_P1","LAT","Ter",0.104015992069045,0.532292120286062,"25km"
"B500_P1","LAT","Ter",2.06443924312075,2.13231972969644,"25km"
"B510_P1","LAT","Ter",-0.318218896389008,0.160718606080543,"25km"
"B584_P1","LAT","Ter",0.251978629195626,0.594656910134283,"25km"
"B587_P1","LAT","Ter",0.0554602017202239,0.193830725588693,"25km"
"B59_P1","LAT","Ter",0.0980154256555171,0.743431234098228,"25km"
"B646_P1","LAT","Ter",0.347806980542373,0.219322674414912,"25km"
"B683_P1","LAT","Ter",0.0344012377261207,0.253331462988677,"25km"
"B689_P1","LAT","Ter",0.0905680909533711,0.255907249515152,"25km"
"B693_P1","LAT","Ter",0.495990210596253,0.134186419901594,"25km"
"B747_P1","LAT","Ter",0.64470651675947,0.530259436504705,"25km"
"B751_P1","LAT","Ter",1.78239564131729,1.79322936947296,"25km"
"B89_P1","LAT","Ter",0.679820592086586,2.14114436329762,"25km"
"A1_P1","ELE","Ter",-0.201957450180048,0.056833172335578,"1km"
"A1_P1","LAT","Ter",0.000472866981343259,0.0558632627093101,"1km"
"A1_P2","ELE","Ter",-0.23638114843231,0.0591555881230038,"1km"
"A1_P2","LAT","Ter",0.03994086095081,0.0735727619009185,"1km"
"A10_P1","ELE","Ter",-0.89685195702911,2.77257889506971,"1km"
"A102_P1","ELE","Ter",-1.88271014690399,0.108766501913441,"1km"
"A102_P2","ELE","Ter",0.119311000406742,0.00577917538016072,"1km"
