"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A214_P1","LAT","Ter",1.77127283105374,1.55929624422379,"110km"
"A214_P1","LAT","Ter",0.942828869532607,1.3730817070728,"25km"
"A214_P1","LAT","Ter",1.27953856374424,1.58059482788923,"50km"
"A215_P1","LAT","Ter",1.70312085384742,2.25113875675139,"110km"
"A215_P1","LAT","Ter",0.24467635400269,1.42712015135976,"25km"
"A215_P1","LAT","Ter",0.580293895873345,1.9549493677353,"50km"
"A216_P1","LAT","Mar",0.558424955186171,0.262623418241019,"110km"
"A216_P1","LAT","Mar",0.674877568839618,0.50185455933956,"25km"
"A216_P1","LAT","Mar",0.682166946367646,0.435098641420736,"50km"
"A218_P1","LAT","Ter",3.58889306484029,4.63068042839522,"110km"
"A218_P1","LAT","Ter",1.30526054669832,2.55023036630337,"25km"
"A218_P1","LAT","Ter",2.13817743615617,3.43529327465739,"50km"
"A220_P1","LAT","Ter",0.381186890362538,0.429799061393056,"110km"
"A220_P1","LAT","Ter",0.223418444450315,0.337016386818649,"25km"
"A220_P1","LAT","Ter",0.286582433524338,0.393757494059932,"50km"
"A221_P1","LAT","Ter",2.08579076085375,0.930304986930844,"110km"
"A221_P1","LAT","Ter",1.53283050168174,1.29605646464269,"25km"
"A221_P1","LAT","Ter",1.78754629770024,1.34219135111608,"50km"
"A221_P2","LAT","Ter",2.91717259655947,1.32803414248297,"110km"
"A221_P2","LAT","Ter",1.97345208818002,1.75532667786916,"25km"
"A221_P2","LAT","Ter",2.49675381441748,1.69252252428355,"50km"
"A221_P3","LAT","Ter",0.575213716241036,1.37198647524872,"110km"
"A221_P3","LAT","Ter",0.127059275858259,0.672610986922486,"25km"
"A221_P3","LAT","Ter",0.217018096485293,1.0168469970091,"50km"
"A227_P1","LAT","Ter",2.04167458613714,0.327688732296545,"110km"
"A227_P1","LAT","Ter",1.56647593797411,0.919460970610233,"25km"
"A227_P1","LAT","Ter",1.91117222636702,0.827013020595454,"50km"
"A229_P1","LAT","Ter",2.30984010938871,0.851445873386692,"110km"
"A229_P1","LAT","Ter",1.27448589094773,1.4476628836599,"25km"
"A229_P1","LAT","Ter",1.76139602421593,1.62402679329613,"50km"
"A232_P1","LAT","Mar",4.82912748564291,4.18962560018117,"110km"
"A232_P1","LAT","Mar",4.36814353036093,5.03570443325317,"25km"
"A232_P1","LAT","Mar",4.59076457673048,4.71816176169972,"50km"
"A232_P2","LAT","Mar",13.2556149733386,8.4423566254353,"110km"
"A232_P2","LAT","Mar",10.7169229314118,9.98373416250009,"25km"
"A232_P2","LAT","Mar",11.5747524212255,9.49311475019362,"50km"
