"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","HandWingIndex","KippsDistance","Database","Unit"
"Parabuteo unicinctus","Parabuteo unicinctus","Parabuteo unicinctus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480410",30.8,99.8,"AVONET","mm"
"Pandion haliaetus","Pandion haliaetus","Pandion haliaetus","Animalia","Chordata","Aves","Accipitriformes","Pandionidae","gbif","GBIF:2480726",44.9,204.8,"AVONET","mm"
"Aix sponsa","Aix sponsa","Aix sponsa","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498387",49.4,108.5,"AVONET","mm"
"Anas acuta","Anas acuta","Anas acuta","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498112",57.8,148.4,"AVONET","mm"
"Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:9761484",50.7,133.5,"AVONET","mm"
"Aythya affinis","Aythya affinis","Aythya affinis","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498257",51,101,"AVONET","mm"
"Branta bernicla","Branta bernicla","Branta bernicla","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:5232446",52.3,167.7,"AVONET","mm"
"Branta canadensis","Branta canadensis","Branta canadensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:5232437",49.4,206.5,"AVONET","mm"
"Bucephala albeola","Bucephala albeola","Bucephala albeola","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498329",47.4,75,"AVONET","mm"
"Bucephala clangula","Bucephala clangula","Bucephala clangula","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498326",51.4,105.4,"AVONET","mm"
"Cygnus buccinator","Cygnus buccinator","Cygnus buccinator","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498345",42.7,267,"AVONET","mm"
"Cygnus olor","Cygnus olor","Cygnus olor","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498343",42.1,244.9,"AVONET","mm"
"Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498408",50.9,95,"AVONET","mm"
"Mergus merganser","Mergus merganser","Mergus merganser","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:9537647",46,123.8,"AVONET","mm"
"Somateria spectabilis","Somateria spectabilis","Somateria spectabilis","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498350",48.9,130.8,"AVONET","mm"
"Apus apus","Apus apus","Apus apus","Animalia","Chordata","Aves","Apodiformes","Apodidae","gbif","GBIF:5228676",71.6,120.2,"AVONET","mm"
"Cathartes aura","Cathartes aura","Cathartes aura","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481930",26.9,135.6,"AVONET","mm"
"Alca torda","Alca torda","Alca torda","Animalia","Chordata","Aves","Charadriiformes","Alcidae","gbif","GBIF:8277073",56.8,116.5,"AVONET","mm"
"Uria aalge","Uria aalge","Uria aalge","Animalia","Chordata","Aves","Charadriiformes","Alcidae","gbif","GBIF:2481342",57.5,111.2,"AVONET","mm"
"Charadrius melodus","Charadrius melodus","Charadrius melodus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","gbif","GBIF:2480283",54.5,62.8,"AVONET","mm"
"Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","gbif","GBIF:2480273",48,117.5,"AVONET","mm"
"Chlidonias niger","Chlidonias niger","Chlidonias niger","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481119",62.1,123.7,"AVONET","mm"
"Hydroprogne caspia","Hydroprogne caspia","Hydroprogne caspia","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481236",65.1,268.2,"AVONET","mm"
"Larus argentatus","Larus argentatus","Larus argentatus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481139",53.4,230.3,"AVONET","mm"
"Larus californicus","Larus californicus","Larus californicus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481146",58.4,220.2,"AVONET","mm"
"Larus canus","Larus canus","Larus canus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:7982160",58.6,206.2,"AVONET","mm"
"Larus delawarensis","Larus delawarensis","Larus delawarensis","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481134",56.2,205.5,"AVONET","mm"
"Larus fuscus","Larus fuscus","Larus fuscus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481174",57.4,235.5,"AVONET","mm"
"Larus glaucescens","Larus glaucescens","Larus glaucescens","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481196",53,218.2,"AVONET","mm"
"Larus marinus","Larus marinus","Larus marinus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481172",52.3,248.1,"AVONET","mm"
"Larus ridibundus","Larus ridibundus","Chroicocephalus ridibundus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:6065824",58.6,169.9,"AVONET","mm"
"Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481205",59.4,179.1,"AVONET","mm"
"Sterna dougallii","Sterna dougallii","Sterna dougallii","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5229249",69.1,156,"AVONET","mm"
"Sterna forsteri","Sterna forsteri","Sterna forsteri","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5229247",68.7,173.5,"AVONET","mm"
"Sterna hirundo","Sterna hirundo","Sterna hirundo","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:9367409",67.3,170.6,"AVONET","mm"
"Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5229230",69.1,181.1,"AVONET","mm"
"Sternula antillarum","Sternula antillarum","Sternula antillarum","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5789285",69.1,114.2,"AVONET","mm"
"Thalasseus maximus","Thalasseus maximus","Thalasseus maximus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5789281",61.4,224.1,"AVONET","mm"
"Thalasseus sandvicensis","Thalasseus sandvicensis","Thalasseus sandvicensis","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481240",69.3,201,"AVONET","mm"
"Recurvirostra americana","Recurvirostra americana","Recurvirostra americana","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","gbif","GBIF:2480258",47.8,104.4,"AVONET","mm"
"Actitis macularius","Actitis macularius","Actitis macularius","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif","GBIF:2481798",47.5,47.6,"AVONET","mm"
"Numenius phaeopus","Numenius phaeopus","Numenius phaeopus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif","GBIF:2481784",53.5,123.4,"AVONET","mm"
"Scolopax minor","Scolopax minor","Scolopax minor","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif","GBIF:2481695",30.6,40,"AVONET","mm"
"Mycteria americana","Mycteria americana","Mycteria americana","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","gbif","GBIF:2481937",37,165.1,"AVONET","mm"
"Columba oenas","Columba oenas","Columba oenas","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif","GBIF:2495471",42.5,91.6,"AVONET","mm"
"Columba palumbus","Columba palumbus","Columba palumbus","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif","GBIF:2495455",41.2,101.4,"AVONET","mm"
"Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif","GBIF:2495696",35.4,60.9,"AVONET","mm"
"Streptopelia turtur","Streptopelia turtur","Streptopelia turtur","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif","GBIF:2495708",43.5,75.1,"AVONET","mm"
"Zenaida macroura","Zenaida macroura","Zenaida macroura","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif","GBIF:2495347",36.6,53.1,"AVONET","mm"
"Alcedo atthis","Alcedo atthis","Alcedo atthis","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","gbif","GBIF:2475532",26.9,19.3,"AVONET","mm"
"Falco columbarius","Falco columbarius","Falco columbarius","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif","GBIF:9813242",48.9,98.8,"AVONET","mm"
"Falco mexicanus","Falco mexicanus","Falco mexicanus","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif","GBIF:2481000",50.5,166,"AVONET","mm"
"Falco peregrinus","Falco peregrinus","Falco peregrinus","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif","GBIF:2481047",52.2,165,"AVONET","mm"
