"ID","binomial","species_studyid","range_source","Area_m2_overlap","Area_m2_range","Area_m2_ID"
"A10_P1","Anas acuta","Anas acuta_A10_P1","IUCN",6516415683158.8,52934892389343,7933705804790.3
"A10_P1","Anas acuta","Anas acuta_A10_P1","BOTW",6516415768582.2,52934943152154.7,7933705804790.3
"A10_P1","Anas acuta","Anas acuta_A10_P1","GBIF occurrence",7925611291183.77,65357748885722.5,7933705804790.3
"A10_P1","Mareca americana","Mareca americana_A10_P1","IUCN",5194860877187.12,15063927634338.6,7933705804790.3
"A10_P1","Mareca americana","Mareca americana_A10_P1","BOTW",5194860783848.11,15063927377011,7933705804790.3
"A10_P1","Mareca americana","Mareca americana_A10_P1","GBIF occurrence",7925611291183.77,25009344100645.4,7933705804790.3
"A10_P1","Spatula clypeata","Spatula clypeata_A10_P1","IUCN",7767076978219.93,50160572110351.1,7933705804790.3
"A10_P1","Spatula clypeata","Spatula clypeata_A10_P1","BOTW",7767076942734.23,50160551832461.4,7933705804790.3
"A10_P1","Spatula clypeata","Spatula clypeata_A10_P1","GBIF occurrence",7925611291183.77,61813644469734,7933705804790.3
"A10_P1","Anas crecca","Anas crecca_A10_P1","GBIF occurrence",7925611291183.77,68245987886089.9,7933705804790.3
"A10_P1","Spatula cyanoptera","Spatula cyanoptera_A10_P1","IUCN",3820407387951.54,8842983764178.87,7933705804790.3
"A10_P1","Spatula cyanoptera","Spatula cyanoptera_A10_P1","BOTW",3820407395422.97,8842984668802.74,7933705804790.3
"A10_P1","Spatula cyanoptera","Spatula cyanoptera_A10_P1","GBIF occurrence",3544222986386.34,6286806721488.16,7933705804790.3
"A10_P1","Spatula discors","Spatula discors_A10_P1","IUCN",7198311396890.1,15868712819454.5,7933705804790.3
"A10_P1","Spatula discors","Spatula discors_A10_P1","BOTW",7198310327770.83,15868657478643.4,7933705804790.3
"A10_P1","Spatula discors","Spatula discors_A10_P1","GBIF occurrence",7925611291183.78,26126719908579.6,7933705804790.3
"A10_P1","Anas platyrhynchos","Anas platyrhynchos_A10_P1","IUCN",7757456979896.84,48513431370525.4,7933705804790.3
"A10_P1","Anas platyrhynchos","Anas platyrhynchos_A10_P1","BOTW",7757460858193.97,48513515011552.5,7933705804790.3
"A10_P1","Anas platyrhynchos","Anas platyrhynchos_A10_P1","GBIF occurrence",7925611291183.77,71027783018793.9,7933705804790.3
"A10_P1","Anas rubripes","Anas rubripes_A10_P1","IUCN",3464772789384.88,6750627542298.38,7933705804790.3
"A10_P1","Anas rubripes","Anas rubripes_A10_P1","BOTW",3464772780525.56,6750626951517.64,7933705804790.3
"A10_P1","Anas rubripes","Anas rubripes_A10_P1","GBIF occurrence",5411451006065.67,12673025799570,7933705804790.3
"A10_P1","Mareca strepera","Mareca strepera_A10_P1","IUCN",6620157909998.44,34553538048427.2,7933705804790.3
"A10_P1","Mareca strepera","Mareca strepera_A10_P1","BOTW",6620157977225.51,34553002066152.2,7933705804790.3
"A10_P1","Mareca strepera","Mareca strepera_A10_P1","GBIF occurrence",7925611291183.78,51163186266149,7933705804790.3
"A10_P1","Anhinga anhinga","Anhinga anhinga_A10_P1","IUCN",697797177812.635,14921558685115.8,7933705804790.3
"A10_P1","Anhinga anhinga","Anhinga anhinga_A10_P1","BOTW",697797177823.929,14921101486983.1,7933705804790.3
"A10_P1","Anhinga anhinga","Anhinga anhinga_A10_P1","GBIF occurrence",4318999115276.4,21304285193784.5,7933705804790.3
"A10_P1","Anser albifrons","Anser albifrons_A10_P1","IUCN",724361911799.783,10569118033094.3,7933705804790.3
"A10_P1","Anser albifrons","Anser albifrons_A10_P1","BOTW",724361949115.649,10569154370823,7933705804790.3
"A10_P1","Anser albifrons","Anser albifrons_A10_P1","GBIF occurrence",7925611291183.78,38857328670988.3,7933705804790.3
"A10_P1","Anthus rubescens","Anthus rubescens_A10_P1","IUCN",7733693452088.44,37048933912409.8,7933705804790.3
"A10_P1","Anthus rubescens","Anthus rubescens_A10_P1","BOTW",7733693452010.63,37048726955744,7933705804790.3
"A10_P1","Anthus rubescens","Anthus rubescens_A10_P1","GBIF occurrence",7925611291183.78,28773634914066,7933705804790.3
"A10_P1","Anthus spragueii","Anthus spragueii_A10_P1","BOTW",3323346327776.78,5658382233830.52,7933705804790.3
"A10_P1","Anthus spragueii","Anthus spragueii_A10_P1","GBIF occurrence",5568575056086.34,8119863565207.84,7933705804790.3
"A10_P1","Aphelocoma ultramarina","Aphelocoma ultramarina_A10_P1","GBIF occurrence",1092037575816.24,2431839878851.88,7933705804790.3
"A10_P1","Aramus guarauna","Aramus guarauna_A10_P1","IUCN",112042705040.436,12204669914913.1,7933705804790.3
"A10_P1","Aramus guarauna","Aramus guarauna_A10_P1","BOTW",112042432922.857,12204575672298.9,7933705804790.3
"A10_P1","Aramus guarauna","Aramus guarauna_A10_P1","GBIF occurrence",1068307287644.38,16896263679003.2,7933705804790.3
"A10_P1","Ardea alba","Ardea alba_A10_P1","IUCN",5557360472051.68,80817524708248.2,7933705804790.3
"A10_P1","Ardea alba","Ardea alba_A10_P1","BOTW",5557360534056.61,80817246594797.7,7933705804790.3
"A10_P1","Ardea alba","Ardea alba_A10_P1","GBIF occurrence",7925611291183.77,92672736001587.9,7933705804790.3
"A10_P1","Ardea herodias","Ardea herodias_A10_P1","IUCN",7759230478286.37,14906997985003.1,7933705804790.3
"A10_P1","Ardea herodias","Ardea herodias_A10_P1","BOTW",7759230478152.57,14906902550144.4,7933705804790.3
"A10_P1","Ardea herodias","Ardea herodias_A10_P1","GBIF occurrence",7925611291183.78,18143507168267.2,7933705804790.3
"A10_P1","Arremonops rufivirgatus","Arremonops rufivirgatus_A10_P1","BOTW",75436934438.4132,553968491127.812,7933705804790.3
"A10_P1","Arremonops rufivirgatus","Arremonops rufivirgatus_A10_P1","GBIF occurrence",546577482493.568,2238241137117.26,7933705804790.3
"A10_P1","Asio flammeus","Asio flammeus_A10_P1","IUCN",7760968491302.12,60054452555113.5,7933705804790.3
"A10_P1","Asio flammeus","Asio flammeus_A10_P1","BOTW",7760968489708.67,60054481496554.8,7933705804790.3
"A10_P1","Asio flammeus","Asio flammeus_A10_P1","GBIF occurrence",7925609275444.24,53447615814395.7,7933705804790.3
"A10_P1","Asio otus","Asio otus_A10_P1","BOTW",6936559403993.22,35423274659006.5,7933705804790.3
"A10_P1","Asio otus","Asio otus_A10_P1","GBIF occurrence",7861096762631.06,34000662917782.2,7933705804790.3
"A10_P1","Athene cunicularia","Athene cunicularia_A10_P1","BOTW",4046229465751.75,15156308383786.2,7933705804790.3
"A10_P1","Athene cunicularia","Athene cunicularia_A10_P1","GBIF occurrence",7213343690471.14,26720984520226.3,7933705804790.3
"A10_P1","Auriparus flaviceps","Auriparus flaviceps_A10_P1","BOTW",773283110806.538,1879707381790.8,7933705804790.3
"A10_P1","Auriparus flaviceps","Auriparus flaviceps_A10_P1","GBIF occurrence",2133040929288.46,3607708352989.01,7933705804790.3
"A10_P1","Aythya affinis","Aythya affinis_A10_P1","IUCN",7915495908993.15,16453052439698.9,7933705804790.3
"A10_P1","Aythya affinis","Aythya affinis_A10_P1","BOTW",7915495908946.15,16453053341019.5,7933705804790.3
"A10_P1","Aythya affinis","Aythya affinis_A10_P1","GBIF occurrence",7925611291183.78,23675380452556.6,7933705804790.3
"A10_P1","Aythya americana","Aythya americana_A10_P1","IUCN",7641740041554.29,11782099602985.7,7933705804790.3
"A10_P1","Aythya americana","Aythya americana_A10_P1","BOTW",7641740041533.82,11782104905492.2,7933705804790.3
"A10_P1","Aythya americana","Aythya americana_A10_P1","GBIF occurrence",7925611291183.78,18148977591939,7933705804790.3
"A10_P1","Aythya collaris","Aythya collaris_A10_P1","IUCN",7767270594874.84,14291364386134.9,7933705804790.3
"A10_P1","Aythya collaris","Aythya collaris_A10_P1","BOTW",7767270623285.57,14291364289389.7,7933705804790.3
"A10_P1","Aythya collaris","Aythya collaris_A10_P1","GBIF occurrence",7925611291183.77,24398704249538.7,7933705804790.3
"A10_P1","Aythya valisineria","Aythya valisineria_A10_P1","IUCN",6643103315700.51,10988460426373.6,7933705804790.3
"A10_P1","Aythya valisineria","Aythya valisineria_A10_P1","BOTW",6643112108001.33,10988439092146.3,7933705804790.3
"A10_P1","Aythya valisineria","Aythya valisineria_A10_P1","GBIF occurrence",7925611291183.78,18284600398775.5,7933705804790.3
"A10_P1","Baeolophus bicolor","Baeolophus bicolor_A10_P1","BOTW",2932576157045.07,2969712504556.12,7933705804790.3
"A10_P1","Baeolophus bicolor","Baeolophus bicolor_A10_P1","GBIF occurrence",4775115480676.94,6415061902583.14,7933705804790.3
"A10_P1","Bombycilla cedrorum","Bombycilla cedrorum_A10_P1","IUCN",7760870291964.54,13624903981708.4,7933705804790.3
"A10_P1","Bombycilla cedrorum","Bombycilla cedrorum_A10_P1","BOTW",7760870613772.86,13624903872160.4,7933705804790.3
"A10_P1","Bombycilla cedrorum","Bombycilla cedrorum_A10_P1","GBIF occurrence",7925611291183.78,18206528496271.3,7933705804790.3
"A10_P1","Botaurus lentiginosus","Botaurus lentiginosus_A10_P1","IUCN",7719328426788.46,14235010656683.6,7933705804790.3
"A10_P1","Botaurus lentiginosus","Botaurus lentiginosus_A10_P1","BOTW",7719328515833.9,14235010419208.2,7933705804790.3
"A10_P1","Botaurus lentiginosus","Botaurus lentiginosus_A10_P1","GBIF occurrence",7925611291183.78,16400953463635.1,7933705804790.3
"A10_P1","Branta canadensis","Branta canadensis_A10_P1","IUCN",7149012452375.19,16355735423076,7933705804790.3
"A10_P1","Branta canadensis","Branta canadensis_A10_P1","BOTW",7149012438990.37,16352791223346.8,7933705804790.3
"A10_P1","Branta canadensis","Branta canadensis_A10_P1","GBIF occurrence",7925611291183.78,26990781085680,7933705804790.3
"A10_P1","Bubulcus ibis","Bubulcus ibis_A10_P1","IUCN",7624427354502.5,63608929813677.6,7933705804790.3
"A10_P1","Bubulcus ibis","Bubulcus ibis_A10_P1","BOTW",7624427328735.23,63608925748567.3,7933705804790.3
"A10_P1","Bubulcus ibis","Bubulcus ibis_A10_P1","GBIF occurrence",6462188578577.53,42695414604865.3,7933705804790.3
"A10_P1","Bucephala clangula","Bucephala clangula_A10_P1","IUCN",7164619308343.22,37077821526122.8,7933705804790.3
"A10_P1","Bucephala clangula","Bucephala clangula_A10_P1","BOTW",7164619307672.73,37078063737364.8,7933705804790.3
"A10_P1","Bucephala clangula","Bucephala clangula_A10_P1","GBIF occurrence",7925611291183.77,42518269528857.5,7933705804790.3
"A10_P1","Buteo albicaudatus","Buteo albicaudatus_A10_P1","GBIF occurrence",937540819713.622,17238171689076.9,7933705804790.3
"A10_P1","Buteo jamaicensis","Buteo jamaicensis_A10_P1","BOTW",7760976043220.86,15893934471610.5,7933705804790.3
"A10_P1","Buteo jamaicensis","Buteo jamaicensis_A10_P1","GBIF occurrence",7925611291183.78,20033546975331.6,7933705804790.3
"A10_P1","Buteo lagopus","Buteo lagopus_A10_P1","IUCN",6264391151300.24,37406918251979.2,7933705804790.3
"A10_P1","Buteo lagopus","Buteo lagopus_A10_P1","BOTW",6264391332834.02,37406946964765.1,7933705804790.3
"A10_P1","Buteo lagopus","Buteo lagopus_A10_P1","GBIF occurrence",7826015080140.34,38523343981821,7933705804790.3
"A10_P1","Buteo lineatus","Buteo lineatus_A10_P1","BOTW",3299481060408.28,4090576966929.38,7933705804790.3
"A10_P1","Buteo lineatus","Buteo lineatus_A10_P1","GBIF occurrence",7714787859020.52,11009323160353.3,7933705804790.3
"A10_P1","Buteo regalis","Buteo regalis_A10_P1","BOTW",3526434933141.11,4975226355104.12,7933705804790.3
"A10_P1","Buteo regalis","Buteo regalis_A10_P1","GBIF occurrence",6751403083218.84,9420881725873.08,7933705804790.3
"A10_P1","Butorides virescens","Butorides virescens_A10_P1","GBIF occurrence",7906003672026.58,15598449442673.5,7933705804790.3
"A10_P1","Calamospiza melanocorys","Calamospiza melanocorys_A10_P1","BOTW",2433635923891.38,3695893111524.7,7933705804790.3
"A10_P1","Calamospiza melanocorys","Calamospiza melanocorys_A10_P1","GBIF occurrence",7487308572838.73,12307910272316.8,7933705804790.3
"A10_P1","Calcarius lapponicus","Calcarius lapponicus_A10_P1","IUCN",5233780596869.71,27581236224737.4,7933705804790.3
"A10_P1","Calcarius lapponicus","Calcarius lapponicus_A10_P1","BOTW",5233780726501.6,27580105036315,7933705804790.3
"A10_P1","Calcarius lapponicus","Calcarius lapponicus_A10_P1","GBIF occurrence",7842066181470.45,31903125995067.6,7933705804790.3
"A10_P1","Rhynchophanes mccownii","Rhynchophanes mccownii_A10_P1","BOTW",2013394708926.42,2569799103290.85,7933705804790.3
"A10_P1","Rhynchophanes mccownii","Rhynchophanes mccownii_A10_P1","GBIF occurrence",4954334805478.12,6498273024809.35,7933705804790.3
"A10_P1","Calcarius ornatus","Calcarius ornatus_A10_P1","BOTW",2489096867174.52,3253026167851.64,7933705804790.3
"A10_P1","Calcarius ornatus","Calcarius ornatus_A10_P1","GBIF occurrence",6501830422369.21,9068341181821.66,7933705804790.3
"A10_P1","Calcarius pictus","Calcarius pictus_A10_P1","IUCN",2044156091804.6,6213416721853.41,7933705804790.3
