Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Sagina saginoides,,Sagina,Caryophyllaceae,Caryophyllales,wind (none),herb,0.02,0.07,2.61,10,,,,,,10,,10,model,temperate,Stšcklin & BŠumler 1996
Saxifraga sp.,,Saxifraga,Saxifragaceae,Saxifragales,wind (none),herb,0.04,,,40,,,,,,40,,40,model,temperate,Stšcklin & BŠumler 1996
Sempervivum sp.,,Sempervivum,Crassulaceae,Saxifragales,wind (none),herb,,,,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Silene rupestris,,Silene,Caryophyllaceae,Caryophyllales,wind (none),herb,,0.25,,10,,,,,,10,,10,model,temperate,Stšcklin & BŠumler 1996
Solidago virgaurea subsp. alpestris,Solidago alpestris,Solidago,Asteraceae,Asterales,wind (special),herb,,,,4,,,,,,4,,4,model,temperate,Stšcklin & BŠumler 1996
Tolpis staticifolia,Hieracium staticifolium,Tolpis,Asteraceae,Asterales,wind (special),herb,0.48,,,75,,,,,,75,,75,model,temperate,Stšcklin & BŠumler 1996
Trifolium badium,,Trifolium,Fabaceae,Fabales,wind (special),herb,0.75,0.2,1.76,10,,,,,,10,,10,model,temperate,Stšcklin & BŠumler 1996
Trifolium pallescens,,Trifolium,Fabaceae,Fabales,wind (special),herb,0.62,,,6,,,,,,6,,6,model,temperate,Stšcklin & BŠumler 1996
Veronica filiformis,,Veronica,Plantaginaceae,Lamiales,animal,herb,,0.3,,4700,,,,,,4700,,4700,field,temperate,Williamson et al. 2003 in Py_ek & Hulme 2005 in Vittoz & Engler 2007
Viola odorata,Viola hirta,Viola,Violaceae,Malpighiales,ant,herb,3.4,0.1,,70,,,,,,70,,70,field,temperate,Senander 1906 in Bonn & Poschold 1998 in Vittoz & Engler 2007
Viola arvensis,,Viola,Violaceae,Malpighiales,ballistic,herb,0.46,0.2,,2.4,,,,,,2.4,,2.4,field,temperate,Stapf 1887 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Viola canina,,Viola,Violaceae,Malpighiales,ballistic,herb,1.11,0.15,,4.7,,,,,,4.7,,4.7,field,temperate,Ulbrich 1928 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Viola riviniana,,Viola,Violaceae,Malpighiales,ballistic,herb,1.3,0.44,,4.6,,,,,,4.6,,4.6,field,temperate,Ulbrich 1928 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Tilia platyphyllos,,,Malvaceae,,wind (special),tree,98.8,30,,80,,,,,,80,,80,field,temperate,MÙller-Schneider 1986 in Vittoz & Engler 2007
Bromus sterilis,,Bromus,Poaceae,Poales,wind (special),herb,6.42,0.65,3.77,20,,,,,,20,,20,field,temperate,Howard et al. 1992 in Bullock & Clarke 2000
Calluna vulgaris,,Calluna,Ericaceae,Ericales,wind (special),shrub,0.03,1,1.33,80,,0.8,,,,80,,80,field,temperate,Bullock & Clarke 2000
Cardamine hirsuta,,Cardamine,Brassicaceae,Brassicales,ballistic,herb,0.11,0.3,,0.9,,,,0.3,,0.9,,0.9,field,temperate,Salisbury 1961 in Willson 1993
Carduus tenuiflorus,,Carduus,Asteraceae,Asterales,wind (special),herb,3.5,2,0.79,2.12,,,,,,2.12,,2.12,model,temperate,Sheldon & Burrows 1973
Erica cinerea,,Erica,Ericaceae,Ericales,wind (special),shrub,0.11,0.6,,80,,0.8,,,,80,,80,field,temperate,Bullock & Clarke 2000
Papaver argemone,,Papaver,Papaveraceae,Ranunculales,wind (none),herb,0.16,3,2.42,3.1,,,,0.6,,3.1,,3.1,field,temperate,Salisbury 1942 in Willson 1993
Papaver dubium,,Papaver,Papaveraceae,Ranunculales,wind (none),herb,0.11,0.98,,2.1,,,,0.9,,2.1,,2.1,field,temperate,Salisbury 1942 in Willson 1993
Papaver hybridum,,Papaver,Papaveraceae,Ranunculales,wind (none),herb,0.14,0.5,,2.4,,,,0.4,,2.4,,2.4,field,temperate,Salisbury 1942 in Willson 1993
Tussilago farfara,,Tussilago,Asteraceae,Asterales,wind (special),herb,0.3,0.3,0.21,4000,,,,10,,4000,,4000,field,temperate,Bakker 1961 in Willson 1993
Vulpia ciliata,,Vulpia,Poaceae,Poales,wind (none),herb,0.42,,,1.1,,,0.19,,,1.1,,1.1,field,temperate,Carey & Watkinson 1993
Vulpia fasciculata,,Vulpia,Poaceae,Poales,wind (none),herb,2.74,,,0.36,,,0.07,,,0.36,,0.36,field,temperate,Watkinson 1978
Abutilon theophrasti,,Abutilon,Malvaceae,Malvales,wind (none),herb,9,,,1.04,,,,,,1.04,,1.04,field,temperate,Primack & Miao 1992
Acer cappadocicum,,Acer,Sapindaceae,Sapindales,wind (special),tree,84.2,,1.08,48.2,,,,,,48.2,,48.2,model,temperate,Matlack 1987
Acer griseum,,Acer,Sapindaceae,Sapindales,wind (special),tree,,,1.24,29.2,,,,,,29.2,,29.2,model,temperate,Matlack 1987
Acer negundo,,Acer,Sapindaceae,Sapindales,wind (special),tree,33.7,20,0.76,41.1,,,,,,41.1,,41.1,model,temperate,Matlack 1987
Acer palmatum,,Acer,Sapindaceae,Sapindales,wind (special),tree,41.68,,1.08,11.6,,,,,,11.6,,11.6,model,temperate,Matlack 1987
Agrostis hyemalis,,Agrostis,Poaceae,Poales,wind (special),herb,61,,0.96,11.5,,,2.22,0.25,,11.5,,11.5,field,temperate,Rabinowitz & Rapp 1979
Ailanthus altissima,,Ailanthus,Simaroubaceae,Sapindales,wind (special),tree,26.91,25,0.56,111.6,,,,,,111.6,,111.6,model,temperate,Matlack 1987
Albizia julibrissin,,Albizia,Fabaceae,Fabales,wind (special),tree,612.95,,1.54,16.2,,,,,,16.2,,16.2,model,temperate,Matlack 1987
Alnus viridis subsp. crispa,Alnus crispa,Alnus,Betulaceae,Fagales,wind (special),shrub,0.35,,0.94,6.65,,,,,,6.65,,6.65,model,temperate,Matlack 1987
Amphicarpaea bracteata,,Amphicarpaea,Fabaceae,Fabales,ballistic,herb,27.09,,,4.25,,,,0.25,1.43,4.25,,4.25,field,temperate,Trapp 1988
Andropogon glomeratus,,Andropogon,Poaceae,Poales,wind (special),herb,0.37,,,13.8,,,,,,13.8,,13.8,field,temperate,Campbell 1983 in Cain et al. 1998
Andropogon gyrans,,Andropogon,Poaceae,Poales,wind (special),herb,,,,10.3,,,,,,10.3,,10.3,field,temperate,Campbell 1983 in Cain et al. 1998
Andropogon longiberbis,,Andropogon,Poaceae,Poales,wind (special),herb,,,,7.35,,,,,,7.35,,7.35,field,temperate,Campbell 1983 in Cain et al. 1998
Andropogon virginicus,,Andropogon,Poaceae,Poales,wind (special),herb,,,,8.6,,,,,,8.6,,8.6,field,temperate,Campbell 1983 in Cain et al. 1998
Andropogon gerardii,,Andropogon,Poaceae,Poales,wind (special),herb,2.74,,1.54,0.19,,,0.06,,,0.19,,0.19,field,temperate,Rabinowitz & Rapp 1981
Apocynum cannabinum,,Apocynum,Apocynaceae,Gentianales,wind (special),herb,1.78,,0.15,83.3,,,,,,83.3,,83.3,model,temperate,Matlack 1987
Arceuthobium vaginatum subsp. cryptopodum,,Arceuthobium,Santalaceae,Santalales,ballistic,shrub,,,,12.8,,,5.3,,,12.8,,12.8,field,temperate,Hawksworth 1959 in Hughes et al. 1994
Asclepias syriaca,,Asclepias,Apocynaceae,Gentianales,wind (special),herb,6.2,1,0.27,150,,,11,2.5,,150,,150,field,temperate,Morse & Schmitt 1985
Betula uber,,Betula,Betulaceae,Fagales,wind (special),tree,,,,100,,,,,,100,,100,field,temperate,Ford et al. 1983 in Willson 1993
Betula lenta,,Betula,Betulaceae,Fagales,wind (special),tree,0.7,,,85,,,,,,85,,85,model,temperate,Matlack 1987
Betula populifolia,,Betula,Betulaceae,Fagales,wind (special),tree,0.11,,0.12,64.1,,,,,,64.1,,64.1,model,temperate,Matlack 1987
Calathea micans,,Calathea,Marantaceae,Zingiberales,ant,herb,36,,,4.5,,,,,,4.5,,4.5,field,temperate,LeCorff & Horvitz 1995
Carduus nutans,,Carduus,Asteraceae,Asterales,wind (special),herb,4,1,0.42,100,,,,5,,100,,100,field,temperate,Smith & Kok 1984
Carex pauciflora,,Carex,Cyperaceae,Poales,ballistic,herb,0.78,0.15,2.26,,,,1,,,,6.2373,6.2373,field,temperate,Hutton 1976 in Cain et al. 1998
Carpinus caroliniana,,Carpinus,Betulaceae,Fagales,wind (special),tree,81.28,,1.29,19.4,,,,,,19.4,,19.4,model,temperate,Matlack 1987
Catalpa bignonioides,,Catalpa,Bignoniaceae,Lamiales,wind (special),tree,35.3,,1.86,16.8,,,,,,16.8,,16.8,model,temperate,Matlack 1987
Chaenorhinum minus,,Chaenorrhinum,Plantaginaceae,Lamiales,wind (none),herb,,0.25,,1.34,,,,0.12,,1.34,,1.34,field,temperate,Arnold 1981
Chamaecyparis thyoides,Cedris atlantica glauca,Chamaecyparis,Cupressaceae,Pinales,wind (special),tree,32.36,,1.12,68.8,,,,,,68.8,,68.8,model,temperate,Matlack 1987
Cirsium undulatum,,Cirsium,Asteraceae,Asterales,wind (special),herb,6.19,,0.3,36,,,18.4,,,36,,36,field,temperate,Platt & Weis 1977
Clematis virginiana,,Clematis,Ranunculaceae,Ranunculales,wind (special),shrub,7.2,,1.29,3.23,,,,,,3.23,,3.23,model,temperate,Matlack 1987
Cnidoscolus urens subsp. stimulosus,Cnidoscolus stimulosus,Cnidoscolus,Euphorbiaceae,Malpighiales,ant,herb,54.5,,,,,,9,,,,54.1969,54.1969,field,temperate,Stamp & Lucas 1990
Crotalaria rotundifolia,,Crotalaria,Fabaceae,Fabales,ant,herb,3.4,,,16.97,,,2.22,,,16.97,,16.97,field,temperate,Stamp & Lucas 1990
Cryptantha flava,,Cryptantha,Boraginaceae,UnplacedEuasteridI,wind (special),herb,2.25,,,31.3,,,2.36,,,31.3,,31.3,field,temperate,Casper 1987
Datura wrightii,,Datura,Solanaceae,Solanales,ant,herb,37.5,,,25.19,,,9.04,,,25.19,,25.19,field,temperate,Ness (unpubl) in Ness et al. 2004
Datura discolor,,Datura,Solanaceae,Solanales,ant,herb,6.2,,,39,,,,,,39,,39,field,temperate,O'Dowd & Hay 1980
Dendromecon harfordii,,Dendromecon,Papaveraceae,Ranunculales,ballistic,tree,16.73,,,5.05,,,3.58,,,5.05,,5.05,field,temperate,Berg 1966
Dendromecon rigida,,Dendromecon,Papaveraceae,Ranunculales,ballistic,shrub,15.4,,,4.8,,,2.67,,,4.8,,4.8,field,temperate,Berg 1966
Erodium botrys,,Erodium,Geraniaceae,Geraniales,ballistic,herb,5.6,,,,,,0.76,,,,4.7612,4.7612,field,temperate,Stamp 1989
Erodium brachycarpum,,Erodium,Geraniaceae,Geraniales,ballistic,herb,3.07,,,,,,0.75,,,,4.6996,4.6996,field,temperate,Stamp 1989
Erodium cicutarium,,Erodium,Geraniaceae,Geraniales,ballistic,herb,1.46,,2.5,,,,0.54,,,,3.4015,3.4015,field,temperate,Stamp 1989
Erodium moschatum,,Erodium,Geraniaceae,Geraniales,ballistic,herb,1.65,0.38,,,,,0.54,,,,3.4015,3.4015,field,temperate,Stamp 1989
Eucalyptus regnans,,Eucalyptus,Myrtaceae,Myrtales,wind (special),tree,2.56,,,150,,,30,,,150,,150,model,temperate,Cremer 1965 in Harper 1977 in Cain et al. 1998
Eupatorium rugosum,,Eupatorium,Asteraceae,Asterales,wind (special),herb,0.12,,0.45,7.1,,,,,,7.1,,7.1,model,temperate,Matlack 1987
Euphorbia esula,,Euphorbia,Euphorbiaceae,Malpighiales,ant,herb,3.5,,,25,,,,2.5,,25,,25,field,temperate,Pemberton 1988
Fagus grandifolia,,Fagus,Fagaceae,Fagales,animal,tree,266,,,4000,,,,,,4000,,4000,field,temperate,Johnson & Adkisson 1985
Festuca paradoxa,,Festuca,Poaceae,Poales,wind (none),herb,0.97,,1.91,0.29,,,0.08,,,0.29,,0.29,field,temperate,Rabinowitz & Rapp 1981
Geranium carolinianum,,Geranium,Geraniaceae,Geraniales,ballistic,herb,3.5,,,4.6,,,3.29,,,4.6,,4.6,field,temperate,Stamp & Lucas 1983
Geranium molle,,Geranium,Geraniaceae,Geraniales,ballistic,herb,1.1,0.3,,3,,,1.79,,,3,,3,field,temperate,Stamp & Lucas 1983
Halesia tetraptera subsp. monticola,Halesia monticola,Halesia,Styracaceae,Ericales,wind (special),shrub,322.1,,3.38,18.5,,,,,,18.5,,18.5,model,temperate,Matlack 1987
Hazardia squarrosa,Haplopappus squarrosus,Hazardia,Asteraceae,Asterales,ant,shrub,0.68,,,3,,,,,,3,,3,field,temperate,Louda 1982
Heterotheca subaxillaris subsp. latifolia,Heterotheca latifolia,Heterotheca,Asteraceae,Asterales,wind (special),herb,0.71,,,19,,,1.65,,,19,,19,field,temperate,Venable & Levin 1985
Hypericum gentianoides,,Hypericum,Hypericaceae,Malpighiales,wind (none),herb,0.04,,,0.5,,,,,,0.5,,0.5,field,temperate,Primack & Miao 1992
Impatiens capensis,,Impatiens,Balsaminaceae,Ericales,ballistic,herb,10.2,,,3.5,,,,,,3.5,,3.5,field,temperate,Primack & Miao 1992
Juglans nigra,,Juglans,Juglandaceae,Fagales,animal,tree,11303,30,,151,,,,38.1,11.6,151,,151,field,temperate,Stapanian & Smith 1986
Larix laricina,,Larix,Pinaceae,Pinales,wind (special),tree,2,,,80,,,4.54,,,80,,80,field,temperate,Brown et al. 1988 in Cain et al. 1998
Liatris aspera,,Liatris,Asteraceae,Asterales,wind (special),herb,2.1,,,9,,,2.5,,,9,,9,field,temperate,Levin & Kerster 1974 in Cain et al. 1998
Liatris cylindracea,,Liatris,Asteraceae,Asterales,wind (special),herb,3.26,,,9,,,2.5,,,9,,9,field,temperate,Levin & Kerster 1974 in Cain et al. 1998
Liriodendron tulipifera,,Liriodendron,Magnoliaceae,Magnoliales,wind (special),tree,31.76,61,1.08,111.9,,,,,,111.9,,111.9,model,temperate,Matlack 1987
Lophion rostratum,Viola rostrata,Lophion,Violaceae,Malpighiales,ballistic,herb,,,,4.2,,,1.2,,,4.2,,4.2,field,temperate,Beattie & Lyons 1975
Mimulus guttatus,,Mimulus,Phrymaceae,Lamiales,wind (none),herb,0,0.6,1.09,4.75,,1,,,,4.75,,4.75,field,temperate,Vickery et al. 1986
Mirabilis hirsuta,,Mirabilis,Nyctaginaceae,Caryophyllales,wind (none),herb,15.74,,2.17,1.6,,,0.4,,,1.6,,1.6,field,temperate,"Platt & Weis 1977, Platt 1976"
Oclemena acuminata,Aster acuminatus,Oclemena,Asteraceae,Asterales,wind (special),herb,0.44,,,5.25,,,1.18,,,5.25,,5.25,field,temperate,Hughes et al. 1988
Oenothera biennis,,Oenothera,Onagraceae,Myrtales,wind (none),herb,0.19,2,1.2,5,,,1.83,,,5,,5,field,temperate,Platt & Weis 1977
Parmena spectabilis,Rubus spectabilis,Parmena,Rosaceae,Rosales,animal,herb,3.19,,,1000,,,,,494,1000,,1000,field,temperate,Hickey et al. 1999
Parthenocissus quinquefolia,,Parthenocissus,Vitaceae,Vitales,animal,shrub,29,10,,24,,,,3,9,24,,24,field,temperate,Hoppes 1988
Penstemon laevigatus subsp. digitalis,Penstemon digitalis,Penstemon,Plantaginaceae,Lamiales,wind (none),herb,,,,2.5,,,,1.25,,2.5,,2.5,field,temperate,Thomas (pers. comm.) in Willson 1993
Phlox pilosa,,Phlox,Polemoniaceae,Ericales,ballistic,herb,2.53,,,3.6,,,1.2,,,3.6,,3.6,field,temperate,Levin & Kerster 1974 in Cain et al. 1998
Phlox drummondii,,Phlox,Polemoniaceae,Ericales,ballistic,herb,1.7,,,1.6,,,0.78,,,1.6,,1.6,field,temperate,Stamp & Lucas 1983
Physalis longifolia subsp. subglabrata,Physalis subglabrata,Physalis,Solanaceae,Solanales,wind (special),herb,,,2.12,1.47,,,,,,1.47,,1.47,model,temperate,Matlack 1987
Phytolacca americana,,Phytolacca,Phytolaccaceae,Caryophyllales,animal,herb,9,,,33,,,,0.5,,33,,33,field,temperate,Hoppes 1988
Pinus palustris,,Pinus,Pinaceae,Pinales,wind (special),tree,94,,,,90,,,,,90,,90,field,temperate,Boyer 1958 in Hughes et al. 1994
Pinus albicaulis,,Pinus,Pinaceae,Pinales,animal,tree,72.09,,,3500,,,,,,3500,,3500,field,temperate,Hutchins & Lanner 1982
Pinus edulis,,Pinus,Pinaceae,Pinales,animal,tree,243,,,22000,,,14300,,,22000,,22000,field,temperate,Vander Wall & Balda 1977
Pinus contorta,,Pinus,Pinaceae,Pinales,wind (special),tree,9.1,,,,,,28,,,,165.5783,165.5783,model,temperate,Vander Wall 2003
Pinus jeffreyi,,Pinus,Pinaceae,Pinales,animal,tree,195.3,,,,,,40,,,,235.1944,235.1944,model,temperate,Vander Wall 2003
Pinus lambertiana,,Pinus,Pinaceae,Pinales,animal,tree,233.4,,,,,,27.8,,,,164.4145,164.4145,model,temperate,Vander Wall 2003
Pinus ponderosa,,Pinus,Pinaceae,Pinales,animal,tree,68.7,,,,,,32.8,,,,193.4728,193.4728,model,temperate,Vander Wall 2003
Plantago patagonica subsp. aristata,Plantago aristata,Plantago,Plantaginaceae,Lamiales,wind (none),herb,1.5,,,18,,,,,,18,,18,field,temperate,Primack & Miao 1992
Platanus occidentalis,,Platanus,Platanaceae,Proteales,wind (special),tree,3.92,25,1.66,62.8,,,,,,62.8,,62.8,model,temperate,Matlack 1987
Prunus serotina,,Prunus,Rosaceae,Rosales,animal,tree,83.9,15,,25,,,,,,25,,25,field,temperate,Smith 1975
Purshia tridentata,,Purshia,Rosaceae,Rosales,animal,shrub,30,,,25.7,,,10.21,,,25.7,,25.7,field,temperate,Vander Wall 1994
Quercus palustris,,Quercus,Fagaceae,Fagales,animal,tree,1087,25,,1900,,,1100,,,1900,,1900,field,temperate,Darley-Hill & Johnson 1981
Quercus macrocarpa,,Quercus,Fagaceae,Fagales,animal,tree,6145,,,51.5,,,,,10.3,51.5,,51.5,field,temperate,Stapanian & Smith 1986
Quercus muehlenbergii,,Quercus,Fagaceae,Fagales,animal,tree,1192.17,,,45.3,,,,,6.4,45.3,,45.3,field,temperate,Stapanian & Smith 1986
Ranunculus adoneus,,Ranunculus,Ranunculaceae,Ranunculales,wind (special),herb,,,,0.18,,,,,,0.18,,0.18,field,temperate,Scherff et al. 1994
Rumex obtusifolius,,Rumex,Polygonaceae,Caryophyllales,wind (special),herb,3.32,1.5,1.26,2.48,,,,,,2.48,,2.48,model,temperate,Matlack 1987
Sanguinaria canadensis,,Sanguinaria,Papaveraceae,Ranunculales,ant,herb,11.51,,,12,,,,,,12,,12,field,temperate,Pudlo et al. 1980
Schizachyrium scoparius,Andropogon scoparius,Schizachyrium,Poaceae,Poales,wind (special),herb,1.5,,0.91,4.11,,,,,,4.11,,4.11,field,temperate,Campbell 1983 in Cain et al. 1998
Senecio squalidus,,Senecio,Asteraceae,Asterales,wind (special),herb,0.36,0.6,0.33,2.53,,,,,,2.53,,2.53,model,temperate,Matlack 1987
Setaria parviflora,Setaria geniculata,Setaria,Poaceae,Poales,wind (none),herb,1.76,,2.09,0.39,,,0.11,,,0.39,,0.39,field,temperate,Rabinowitz & Rapp 1981
Silphium laciniatum,,Silphium,Asteraceae,Asterales,wind (special),herb,37,,,4.6,,,1.06,,1,4.6,,4.6,field,temperate,Pleasants & Jurik 1992
Solidago altissima,,Solidago,Asteraceae,Asterales,wind (special),herb,0.11,,0.28,14.9,,,,,,14.9,,14.9,model,temperate,Matlack 1987
Solidago rigida,,Solidago,Asteraceae,Asterales,wind (special),herb,0.52,,0.34,15,,,4.9,,,15,,15,field,temperate,Platt & Weis 1977
Sorghastrum nutans,,Sorghastrum,Poaceae,Poales,wind (special),herb,2.8,,1.94,0.24,,,0.06,,,0.24,,0.24,field,temperate,Rabinowitz & Rapp 1981
Sphenopholis obtusata,,Sphenopholis,Poaceae,Poales,wind (none),herb,0.19,,0.87,0.46,,,0.08,,,0.46,,0.46,field,temperate,Rabinowitz & Rapp 1981
Sporobolus airoides,,Sporobolus,Poaceae,Poales,wind (none),herb,0.26,,,15.2,,,3.33,,,15.2,,15.2,field,temperate,Knipe & Springfield 1972
Stillingia sylvatica,,Stillingia,Euphorbiaceae,Malpighiales,ant,herb,40.2,,,,,,9,,,,54.1969,54.1969,field,temperate,Stamp & Lucas 1990
Symphyotrichum prenanthoides,Aster prenanthoides,Symphyotrichum,Asteraceae,Asterales,wind (special),herb,0.33,,0.66,3.11,,,,,,3.11,,3.11,model,temperate,Matlack 1987
Thuja plicata,,Thuja,Cupressaceae,Pinales,wind (special),tree,1.4,60,,122,,,,30,,122,,122,field,temperate,Gashwiler 1969 in Hughes et al. 1994
Thuja sp.,,Thuja,Cupressaceae,Pinales,animal,tree,,,,15000,,,,,,15000,,15000,field,temperate,Reimers 1958 in Vander Wall & Balda 1977
Tilia americana,,Tilia,Malvaceae,Malvales,wind (special),tree,333.8,,2.92,15,,,,,,15,,15,model,temperate,Matlack 1987
Toxicodendron radicans,,Toxicodendron,Anacardiaceae,Sapindales,animal,shrub,29,,,33,,,,,,33,,33,field,temperate,Hoppes 1988
Tragopogon porrifolius,,Tragopogon,Asteraceae,Asterales,wind (special),herb,7.05,1,0.3,6.9,,,,,,6.9,,6.9,model,temperate,Matlack 1987
Trifolium arvense,,Trifolium,Fabaceae,Fabales,wind (special),herb,0.31,0.3,1.25,0.75,,,,,,0.75,,0.75,model,temperate,Matlack 1987
Trillium ovatum,,Trillium,Melanthiaceae,Liliales,ant,herb,10.94,,,1.8,,,0.58,,,1.8,,1.8,field,temperate,Mesler & Lu 1985
Trillium grandiflorum,,Trillium,Melanthiaceae,Liliales,animal,herb,10.7,,,3750,,,,,700,3750,,3750,field,temperate,Vellend et al. 2003
Tsuga heterophylla,,Tsuga,Pinaceae,Pinales,wind (special),tree,2,45,,122,,,,30,,122,,122,field,temperate,Gashwiler 1969 in Hughes et al. 1994
Vaccinium alaskaense,,Vaccinium,Ericaceae,Ericales,animal,shrub,,,,1000,,,,,519,1000,,1000,field,temperate,Hickey et al. 1999
Verbena stricta,,Verbena,Verbenaceae,Lamiales,wind (none),herb,0.95,,1.66,3.5,,,1.03,,,3.5,,3.5,field,temperate,Platt & Weis 1977
Viola blanda ,,Viola,Violaceae,Malpighiales,ballistic,herb,0.96,,,3.8,,,1,,,3.8,,3.8,field,temperate,Beattie & Lyons 1975
Viola cucullata,,Viola,Violaceae,Malpighiales,ballistic,herb,,,,2.1,,,1.5,,,2.1,,2.1,field,temperate,Beattie & Lyons 1975
Viola pedata,,Viola,Violaceae,Malpighiales,ballistic,herb,0.93,,,5.1,,,1.4,,,5.1,,5.1,field,temperate,Beattie & Lyons 1975
Viola pubescens subsp. scabriuscula,Viola eriocarpa,Viola,Violaceae,Malpighiales,ballistic,herb,,,,5.4,,,1.2,,,5.4,,5.4,field,temperate,Beattie & Lyons 1975
Viola sororia subsp. sororia,Viola papillionacea,Viola,Violaceae,Malpighiales,ballistic,herb,1.33,,,4.8,,,2.1,,,4.8,,4.8,field,temperate,Beattie & Lyons 1975
Viola stricta,,Viola,Violaceae,Malpighiales,ballistic,herb,1.1,,,3.4,,,0.79,,,3.4,,3.4,field,temperate,Stamp & Lucas 1983
Vitis vulpina,,Vitis,Vitaceae,Vitales,animal,shrub,29,,,24,,,,6,,24,,24,field,temperate,Hoppes 1988
