Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Ficus sphenophylla,,Ficus,Moraceae,Rosales,animal,tree,,,,451,,,329,,,451,,451,field,tropics,Yumoto 1999
Geophila repens,,Geophila,Rubiaceae,Gentianales,animal,herb,,,,633,,,245,,,633,,633,field,tropics,Yumoto 1999
Achyranthes aspera,,Achyranthes,Amaranthaceae,Caryophyllales,animal,herb,3.72,,,2500,,,2423.4,,,2500,,2500,field,tropics,Bullock & Primack 1977
Andira inermis,,Andira,Fabaceae,Fabales,animal,tree,1130,,,207,,,,,,207,,207,field,tropics,Janzen et al. 1976
Beilschmiedia pendula,,Beilschmiedia,Lauraceae,Laurales,animal,tree,4744,,,70,,,,,,70,,70,field,tropics,Wenny 2000a
Bidens sp.,,Bidens,Asteraceae,Asterales,animal,herb,,,,250,,,108.8,,,250,,250,field,tropics,Bullock & Primack 1977
Calathea lutea,,Calathea,Marantaceae,Zingiberales,ant,herb,,,,0.73,,,,,,0.73,,0.73,field,tropics,Horvitz 1991 in Ness et al. 2004
Calathea marantifolia,,Calathea,Marantaceae,Zingiberales,ant,herb,,,,0.41,,,,,,0.41,,0.41,field,tropics,Horvitz 1991 in Ness et al. 2004
Casearia corymbosa,,Casearia,Salicaceae,Malpighiales,animal,tree,,,,200,,,,,,200,,200,field,tropics,Howe 1977
Guarea glabra,,Guarea,Meliaceae,Sapindales,animal,tree,595,,,65,,,,,10,65,,65,field,tropics,Wenny 1999
Guarea kunthiana,,Guarea,Meliaceae,Sapindales,animal,tree,200,,,58,,,,,14,58,,58,field,tropics,Wenny 1999
Ischnosiphon inflatus,,Ischnosiphon,Marantaceae,Zingiberales,ant,herb,,,,1.17,,,,,,1.17,,1.17,field,tropics,Horvitz 1991 in Ness et al. 2004
Ocotea endresiana,,Ocotea,Lauraceae,Laurales,animal,tree,750,,,70,,,,,,70,,70,field,tropics,Wenny 2000b
Petiveria alliacea,,Petiveria,Phytolaccaceae,Caryophyllales,animal,herb,13.54,,,250,,,107,,,250,,250,field,tropics,Bullock & Primack 1977
Piper amalago,,Piper,Piperaceae,Piperales,animal,shrub,1600,,,700,,,37.8,,50,700,,700,field,tropics,Fleming 1981
Pleiostachya pruinosa,,Pleiostachya,Marantaceae,Zingiberales,ant,herb,,,,1.87,,,,,,1.87,,1.87,field,tropics,Horvitz 1991 in Ness et al. 2004
Carex pilulifera,,Carex,Cyperaceae,Poales,ant,herb,1.1,0.4,3.36,1.4,,,0.4,0.35,,1.4,,1.4,field,temperate,Kjellsson 1985
Bursera graveolens,,Bursera,Burseraceae,Sapindales,animal,shrub,,,,35,,20,,4,7,35,,35,field,tropics,Clark & Clark 1981
Ficus crassiuscula,,Ficus,Moraceae,Rosales,animal,tree,,,,326,,,,,,326,,326,model,tropics,Karubian et al. 2012
Brassica napus,,Brassica,Brassicaceae,Brassicales,animal,herb,3.3,1.2,,400,,,,,,400,,400,field,temperate,Bailleul et al. 2012
Vouacapoua americana,,Vouacapou,Fabaceae,Fabales,animal,tree,,,,22.4,,,,,,22.4,,22.4,field,tropics,Forget 1990
Acer platanoides,,Acer,Sapindaceae,Sapindales,wind (special),tree,139,,0.87,,,,83,,,,482.3617,482.3617,field,temperate,Kohlermann 1950 in Hughes et al. 1994
