"","SpeciesChecked","Taxa","Group","LifeSpan","Database","Field","Unit","ecotype","OriginalName","phylum","class","order","family","genus","species","Taxonomic.Group","Ecosystem.Type"
"328","Aythya nyroca","Aythya nyroca","Anseriformes","9","amphibio","maximum_longevity_y","yrs","terrestrial","Aythya nyroca","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya nyroca","Bird","terrestrial"
"329","Aythya valisineria","Aythya valisineria","Anseriformes","29.5","amphibio","maximum_longevity_y","yrs","terrestrial","Aythya valisineria","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya valisineria","Bird","terrestrial"
"332","Branta canadensis","Branta canadensis","Anseriformes","42","amphibio","maximum_longevity_y","yrs","terrestrial","Branta canadensis","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis","Bird","terrestrial"
"334","Branta leucopsis","Branta leucopsis","Anseriformes","28.16666667","amphibio","maximum_longevity_y","yrs","terrestrial","Branta leucopsis","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta leucopsis","Bird","terrestrial"
"338","Bucephala clangula","Bucephala clangula","Anseriformes","18.41666667","amphibio","maximum_longevity_y","yrs","aquatic","Bucephala clangula","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala clangula","Bird","aquatic"
"354","Clangula hyemalis","Clangula hyemalis","Anseriformes","22.7","amphibio","maximum_longevity_y","yrs","aquatic","Clangula hyemalis","Chordata","Aves","Anseriformes","Anatidae","Clangula","Clangula hyemalis","Bird","aquatic"
"358","Cygnus buccinator","Cygnus buccinator","Anseriformes","32.5","amphibio","maximum_longevity_y","yrs","terrestrial","Cygnus buccinator","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus buccinator","Bird","terrestrial"
"359","Cygnus columbianus","Cygnus columbianus","Anseriformes","24.1","amphibio","maximum_longevity_y","yrs","aquatic","Cygnus columbianus","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus","Bird","aquatic"
"360","Cygnus cygnus","Cygnus cygnus","Anseriformes","26.5","amphibio","maximum_longevity_y","yrs","terrestrial","Cygnus cygnus","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus cygnus","Bird","terrestrial"
"362","Cygnus olor","Cygnus olor","Anseriformes","70","amphibio","maximum_longevity_y","yrs","aquatic","Cygnus olor","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Bird","aquatic"
"365","Dendrocygna autumnalis","Dendrocygna autumnalis","Anseriformes","8.2","amphibio","maximum_longevity_y","yrs","terrestrial","Dendrocygna autumnalis","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna autumnalis","Bird","terrestrial"
"374","Lophodytes cucullatus","Lophodytes cucullatus","Anseriformes","14.5","amphibio","maximum_longevity_y","yrs","terrestrial","Lophodytes cucullatus","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","Lophodytes cucullatus","Bird","terrestrial"
"378","Melanitta nigra","Melanitta americana","Anseriformes","17.91666667","amphibio","maximum_longevity_y","yrs","terrestrial","Melanitta nigra","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta nigra","Bird","terrestrial"
"379","Melanitta fusca","Melanitta deglandi","Anseriformes","21.41666667","amphibio","maximum_longevity_y","yrs","terrestrial","Melanitta fusca","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta fusca","Bird","terrestrial"
"380","Melanitta fusca","Melanitta fusca","Anseriformes","21.41666667","amphibio","maximum_longevity_y","yrs","terrestrial","Melanitta fusca","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta fusca","Bird","terrestrial"
"381","Melanitta nigra","Melanitta nigra","Anseriformes","17.91666667","amphibio","maximum_longevity_y","yrs","terrestrial","Melanitta nigra","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta nigra","Bird","terrestrial"
"384","Mergellus albellus","Mergellus albellus","Anseriformes","10","amphibio","maximum_longevity_y","yrs","terrestrial","Mergellus albellus","Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus","Bird","terrestrial"
"386","Lophodytes cucullatus","Mergus cucullatus","Anseriformes","11.25","amphibio","maximum_longevity_y","yrs","terrestrial","Lophodytes cucullatus","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","Lophodytes cucullatus","Bird","terrestrial"
"387","Mergus merganser","Mergus merganser","Anseriformes","14.83333333","amphibio","maximum_longevity_y","yrs","terrestrial","Mergus merganser","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","Bird","terrestrial"
"389","Mergus serrator","Mergus serrator","Anseriformes","21.33333333","amphibio","maximum_longevity_y","yrs","aquatic","Mergus serrator","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus serrator","Bird","aquatic"
"394","Netta rufina","Netta rufina","Anseriformes","8.75","amphibio","maximum_longevity_y","yrs","terrestrial","Netta rufina","Chordata","Aves","Anseriformes","Anatidae","Netta","Netta rufina","Bird","terrestrial"
"401","Oxyura jamaicensis","Oxyura jamaicensis","Anseriformes","13.6","amphibio","maximum_longevity_y","yrs","terrestrial","Oxyura jamaicensis","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis","Bird","terrestrial"
"406","Polysticta stelleri","Polysticta stelleri","Anseriformes","23","amphibio","maximum_longevity_y","yrs","aquatic","Polysticta stelleri","Chordata","Aves","Anseriformes","Anatidae","Polysticta","Polysticta stelleri","Bird","aquatic"
"413","Somateria mollissima","Somateria mollissima","Anseriformes","37.8","amphibio","maximum_longevity_y","yrs","terrestrial","Somateria mollissima","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria mollissima","Bird","terrestrial"
"424","Tadorna tadorna","Tadorna tadorna","Anseriformes","24.8","amphibio","maximum_longevity_y","yrs","terrestrial","Tadorna tadorna","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadorna","Bird","terrestrial"
"464","Aeronautes saxatalis","Aeronautes saxatalis","Apodiformes","10","amphibio","maximum_longevity_y","yrs","terrestrial","Aeronautes saxatalis","Chordata","Aves","Apodiformes","Apodidae","Aeronautes","Aeronautes saxatalis","Bird","terrestrial"
"468","Apus apus","Apus apus","Apodiformes","21.08333333","amphibio","maximum_longevity_y","yrs","terrestrial","Apus apus","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","Bird","terrestrial"
"492","Chaetura pelagica","Chaetura pelagica","Apodiformes","15","amphibio","maximum_longevity_y","yrs","terrestrial","Chaetura pelagica","Chordata","Aves","Apodiformes","Apodidae","Chaetura","Chaetura pelagica","Bird","terrestrial"
"579","Amazilia yucatanensis","Amazilia yucatanensis","Apodiformes","11.16666667","amphibio","maximum_longevity_y","yrs","terrestrial","Amazilia yucatanensis","Chordata","Aves","Apodiformes","Trochilidae","Amazilia","Amazilia yucatanensis","Bird","terrestrial"
"588","Archilochus alexandri","Archilochus alexandri","Apodiformes","11","amphibio","maximum_longevity_y","yrs","terrestrial","Archilochus alexandri","Chordata","Aves","Apodiformes","Trochilidae","Archilochus","Archilochus alexandri","Bird","terrestrial"
"589","Archilochus colubris","Archilochus colubris","Apodiformes","9.1","amphibio","maximum_longevity_y","yrs","terrestrial","Archilochus colubris","Chordata","Aves","Apodiformes","Trochilidae","Archilochus","Archilochus colubris","Bird","terrestrial"
"606","Calypte anna","Calypte anna","Apodiformes","8.5","amphibio","maximum_longevity_y","yrs","terrestrial","Calypte anna","Chordata","Aves","Apodiformes","Trochilidae","Calypte","Calypte anna","Bird","terrestrial"
