"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Brachypodium distachyon";17.7035625;9.27777123357221;16.4335;6.39125;30;16
"Brachypodium sylvaticum";51.0413810741304;26.879156516903;41;27;118.75;46
"Brassica nigra";94.7631578947368;38.1664368337522;100;23.375;150;19
"Brassica oleracea";71.8125;41.6416758388356;67.5;19;126.25;16
"Brassica rapa";75.7922222222222;27.2094785724204;91.44;30;100;18
"Brassica tournefortii";56.6833333333333;8.48119131140231;60;36.455;60;12
"Briza maxima";41.9907692307692;15.0760397438775;33;24.2;61.688;13
"Briza media";19.8833333333333;17.5811048850632;12.1;3.945;60;99
"Briza minor";25.2;21.6835831397345;10.5;6.9;58.875;10
"Bromus arenarius";45;NA;45;45;45;1
"Bromus benekenii";89.5454545454545;31.0205210670731;100;50;120;11
"Bromus briziformis";48.768;NA;48.768;48.768;48.768;1
"Bromus carinatus";42.9466666666667;24.4267193364942;33;22;120.096;39
"Bromus catharticus";67.4078787878788;35.4304086366728;91.44;10.375;100;11
"Bromus ciliatus";46.5418181818182;18.5644154323889;43;30.15;88.3619999999999;22
"Bromus commutatus";66;29.0654433993359;70;20.625;111.75;16
"Bromus diandrus";34.552555489418;17.6000198254338;30;14.976275;90;80
"Bromus erectus";39.8322368421053;25.6598840007087;32.5;14.475;100;76
"Bromus hordeaceus";26.9975757576033;21.035701240171;18;6.5;80;121
"Bromus inermis";76.7264144503651;22.801996235074;76;39.875;124.95;391
"Bromus japonicus";39.6830769230769;21.5670827051379;36;11.3;76.4;13
"Bromus madritensis";22.89;11.8376548111766;23;9.22;46.5;15
"Bromus marginatus";121.92;NA;121.92;121.92;121.92;1
"Bromus racemosus";71.25;26.219787808586;78.5;22.75;98.625;12
"Bromus ramosus";133.728235294118;41.1689573943909;140;59.028;190;17
"Bromus rubens";31.7965;11.7308800668516;35.312;11.75;43.6467;8
"Bromus secalinus";79.0909090909091;35.998484816599;89;20;125.25;11
"Bromus sterilis";45.5441891891892;31.576372089338;40;4.6265;100;37
"Bromus tectorum";30.5435284972335;24.3682957739683;22.6321839336037;8.845;90;48
"Bromus vulgaris";30.48;NA;30.48;30.48;30.48;1
"Bryonia dioica";357.142857142857;113.389341902768;300;300;570;7
"Buddleja davidii";291.607142857143;166.683630089108;300;50;500;28
