name	family	comment	citation_total	citation_prop_ane	citation_prop_dyso	citation_prop_endo	citation_prop_epi	citation_prop_hem	citation_prop_hydro	citation_prop_other	fruit_type	dia_type	dia_exposure	dia_hetero	dia_app_nutrient	dia_app_elon	dia_app_hook	dia_app_flat	dia_app_ballo	dia_app_muci	dia_app_other	dia_app_no	dia_morph	dia_mass	dia_surfacestructure	dia_length	dia_width	dia_height	dia_shape	dia_form	vterm	rank_ane	rank_hydro	rank_epi_wool	diaspore_seeds_class
Arabis caerulea All.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.24	0.95	1.83	1.46	1	0.03	spherical	1.29	0.81	NA	0.4	1
Arabis ciliata Clairv.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.99	0.99	0.83	0.5	0.04	spherical	2.09	0.61	NA	0.56	1
Arabis glabra (L.) Bernh.	Brassicaceae	-	2	0	0	0	0	0	0	1	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	NA	0.89	1.22	0.75	NA	0.1	spherical	1.8	0.68	NA	0.59	1
Arabis hirsuta (L.) Scop.	Brassicaceae	-	3	0	0	0	1	0	0	0	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.109857	0.96	1.16	0.77	NA	0.11	flat	1.72	0.77	0.86	0.5	1
Arabis hirsuta agg.	Brassicaceae	-	3	0	0	0	1	0	0	0	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.108575	0.97	1.29	0.79	0.2	0.12	flat	1.34	0.79	0.86	0.5	1
Arabis nemorensis (Hoffm.) Koch	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	NA	0.96	1.27	0.74	0.2	0.12	flat	1.22	0.82	NA	NA	1
Arabis planisiliqua (Pers.) Rchb.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Arabis soyeri ssp. subcoriacea (Gren.) Breistr.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.269167	0.96	2.15	1.97	NA	NA	NA	1.45	0.76	NA	0.37	1
Arabis turrita L.	Brassicaceae	-	1	0	0	0	1	0	0	0	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.486667	NA	2.5	2	1	0.06	spherical	1.5	0.75	NA	NA	1
Arctium lappa L.	Asteraceae	other diaspore-types: fruit|4d.5| & infr|4d.5|	5	0	0.2	0	0.6	0.2	0	0	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.99	6.88	2.79	NA	0.11	spherical	NA	NA	0.35	NA	1
