"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","GrowthForm","DispersalSyndrome","SeedWeightmg","SeedReleaseHeightm","Database"
"Cerastium semidecandrum","Cerastium semidecandrum","Cerastium semidecandrum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085434","herb","wind (none)",0.04,0.2,"Tamme et al."
"Cichorium intybus","Cichorium intybus","Cichorium intybus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5392252","herb","wind (none)",1.03,1.5,"Tamme et al."
"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112801","herb","wind (special)",2.9,2,"Tamme et al."
"Cirsium arvense","Cirsium arvense","Cirsium arvense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113414","herb","wind (special)",1.3,1.2,"Tamme et al."
"Cirsium dissectum","Cirsium dissectum","Cirsium dissectum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113784","herb","wind (special)",2.37,1,"Tamme et al."
"Cirsium palustre","Cirsium palustre","Cirsium palustre","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113239","herb","wind (special)",1.67,1.93,"Tamme et al."
"Clematis vitalba","Clematis vitalba","Clematis vitalba","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033558","shrub","wind (special)",2.3,10,"Tamme et al."
"Conium maculatum","Conium maculatum","Conium maculatum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034807","herb","wind (none)",2.8,NA,"Tamme et al."
"Conyza canadensis","Conyza canadensis","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3146791","herb","wind (special)",0.05,1,"Tamme et al."
"Crepis biennis","Crepis biennis","Crepis biennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403531","herb","wind (special)",1.23,1.2,"Tamme et al."
"Crepis capillaris","Crepis capillaris","Crepis capillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403304","herb","wind (special)",NA,NA,"Tamme et al."
