"scientificName","kingdom","phylum","class","order","family","db","BodySize","Database","Code","Unit","Field"
"Ardea cinerea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif",137.9,"AVONET","BodySize","mm","TarsusLength"
"Egretta thula","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif",93.3,"AVONET","BodySize","mm","TarsusLength"
"Nycticorax nycticorax","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif",69.2,"AVONET","BodySize","mm","TarsusLength"
"Pelecanus erythrorhynchos","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","gbif",115.9,"AVONET","BodySize","mm","TarsusLength"
"Eudocimus albus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","gbif",90.4,"AVONET","BodySize","mm","TarsusLength"
"Plegadis chihi","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","gbif",86.1,"AVONET","BodySize","mm","TarsusLength"
"Plegadis falcinellus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","gbif",86.4,"AVONET","BodySize","mm","TarsusLength"
"Dendrocopos major","Animalia","Chordata","Aves","Piciformes","Picidae","gbif",23.9,"AVONET","BodySize","mm","TarsusLength"
"Dryocopus pileatus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif",29.3,"AVONET","BodySize","mm","TarsusLength"
"Leuconotopicus borealis","Animalia","Chordata","Aves","Piciformes","Picidae","gbif",21.1,"AVONET","BodySize","mm","TarsusLength"
"Picus viridis","Animalia","Chordata","Aves","Piciformes","Picidae","gbif",29,"AVONET","BodySize","mm","TarsusLength"
"Phoebastria nigripes","Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","gbif",87.4,"AVONET","BodySize","mm","TarsusLength"
"Aegolius funereus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",23.4,"AVONET","BodySize","mm","TarsusLength"
"Asio otus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",40.1,"AVONET","BodySize","mm","TarsusLength"
"Athene cunicularia","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",43.4,"AVONET","BodySize","mm","TarsusLength"
"Bubo scandiacus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",62.2,"AVONET","BodySize","mm","TarsusLength"
"Bubo virginianus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",75.4,"AVONET","BodySize","mm","TarsusLength"
"Megascops asio","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",35.5,"AVONET","BodySize","mm","TarsusLength"
"Strix aluco","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",46.4,"AVONET","BodySize","mm","TarsusLength"
"Strix nebulosa","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",60,"AVONET","BodySize","mm","TarsusLength"
"Strix varia","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif",60.1,"AVONET","BodySize","mm","TarsusLength"
"Tyto alba","Animalia","Chordata","Aves","Strigiformes","Tytonidae","gbif",59.6,"AVONET","BodySize","mm","TarsusLength"
