"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Unit","Database","Sex"
"Erophila verna","Erophila verna","Draba verna","Plantae",NA,"Magnoliopsida","Brassicales","Brassicaceae","itis","ITIS:22923","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Eupatorium cannabinum","Eupatorium cannabinum","Eupatorium cannabinum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5402943","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","1.62","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Fallopia convolvulus","Fallopia convolvulus","Fallopia convolvulus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:6391461","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.04","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Galinsoga parviflora","Galinsoga parviflora","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3132570","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.14","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Helichrysum luteoalbum","Helichrysum luteoalbum","Helichrysum luteoalbum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3131229","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.18","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Helminthotheca echioides","Helminthotheca echioides","Helminthotheca echioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3141855","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.2","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Hieracium pilosella","Hieracium pilosella","Hieracium pilosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:7569785","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.21","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Hieracium sabaudum","Hieracium sabaudum","Hieracium sabaudum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3136606","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","1.46","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Hieracium umbellatum","Hieracium umbellatum","Hieracium umbellatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3135329","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.62","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Hypericum perforatum","Hypericum perforatum","Hypericum perforatum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","gbif","GBIF:3189486","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.11","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Hypericum tetrapterum","Hypericum tetrapterum","Hypericum tetrapterum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","gbif","GBIF:6436469","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.04","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Jasione montana","Jasione montana","Jasione montana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:8366345","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.1","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Juncus compressus","Juncus compressus","Juncus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","gbif","GBIF:2701599","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.07","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Juncus effusus","Juncus effusus","Juncus effusus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","gbif","GBIF:2701311","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.36","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Lactuca serriola","Lactuca serriola","Lactuca serriola","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3140490","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.74","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Leontodon hispidus","Leontodon hispidus","Leontodon hispidus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3137498","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.13","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Leucanthemum vulgare","Leucanthemum vulgare","Leucanthemum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8848598","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.08","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Linaria vulgaris","Linaria vulgaris","Linaria vulgaris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5415020","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.2","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Lunaria annua","Lunaria annua","Lunaria annua","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5373324","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.07","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Luzula campestris","Luzula campestris","Luzula campestris","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","gbif","GBIF:2700828","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.02","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Lythrum salicaria","Lythrum salicaria","Lythrum salicaria","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","gbif","GBIF:3188736","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.17","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Matricaria matricarioides","Matricaria matricarioides","Matricaria discoidea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3103791","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.02","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Melilotus officinalis","Melilotus officinalis","Melilotus officinalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:8193111","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.05","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Mycelis muralis","Mycelis muralis","Mycelis muralis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3139040","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.99","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Myosotis arvensis","Myosotis arvensis","Myosotis arvensis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:5341170","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Myosotis scorpioides","Myosotis scorpioides","Myosotis scorpioides","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:5341184","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.02","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Narthecium ossifragum","Narthecium ossifragum","Narthecium ossifragum","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Nartheciaceae","gbif","GBIF:5602614","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.12","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Nepeta cataria","Nepeta cataria","Nepeta cataria","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:5341499","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.06","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Odontites vernus","Odontites vernus","Odontites vernus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:8971475","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.05","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Papaver rhoeas","Papaver rhoeas","Papaver rhoeas","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888443","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.1","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Pedicularis palustris","Pedicularis palustris","Pedicularis palustris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3171734","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Pilosella lactucella","Pilosella lactucella","Pilosella lactucella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9509071","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.07","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Potentilla argentea","Potentilla argentea","Potentilla argentea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:8011540","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.06","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Potentilla erecta","Potentilla erecta","Potentilla erecta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5365576","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.04","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Potentilla verna","Potentilla verna","Potentilla verna","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:8182596","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.01","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Primula elatior","Primula elatior","Primula elatior","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:5414326","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Primula veris","Primula veris","Primula veris","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:8377689","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Pulicaria dysenterica","Pulicaria dysenterica","Pulicaria dysenterica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3095609","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.57","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Raphanus raphanistrum","Raphanus raphanistrum","Raphanus raphanistrum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3040983","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Raphanus sativus","Raphanus sativus","Raphanus sativus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7678610","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.04","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Reseda lutea","Reseda lutea","Reseda lutea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Resedaceae","gbif","GBIF:3040252","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.06","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Rhinanthus alectorolophus","Rhinanthus alectorolophus","Rhinanthus alectorolophus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3172045","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.06","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Rhinanthus minor","Rhinanthus minor","Rhinanthus minor","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3172043","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.08","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Rumex acetosa","Rumex acetosa","Rumex acetosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:2888951","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.18","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Rumex crispus","Rumex crispus","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:8195144","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.19","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Rumex hydrolapathum","Rumex hydrolapathum","Rumex hydrolapathum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:7291247","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.13","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Sanguisorba minor","Sanguisorba minor","Poterium sanguisorba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5364245","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Sanguisorba officinalis","Sanguisorba officinalis","Sanguisorba officinalis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3029627","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.13","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Saponaria officinalis","Saponaria officinalis","Saponaria officinalis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085360","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.04","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Scleranthus annuus","Scleranthus annuus","Scleranthus annuus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085894","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.02","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3170886","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.17","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Senecio erucifolius","Senecio erucifolius","Jacobaea erucifolia","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","itis","ITIS:780392","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","1.38","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Senecio inaequidens","Senecio inaequidens","Senecio inaequidens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3109086","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.96","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Senecio ovatus","Senecio ovatus","Senecio ovatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3107361","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.98","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Senecio sylvaticus","Senecio sylvaticus","Senecio sylvaticus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3107987","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","1.21","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Serratula tinctoria","Serratula tinctoria","Serratula tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5388835","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.2","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Silene dioica","Silene dioica","Silene dioica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384795","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.09","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Silene flos-cuculi","Silene flos-cuculi","Silene flos-cuculi","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384738","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.07","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Silene latifolia subsp. alba","Silene latifolia","Silene latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384805","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.1","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Silene vulgaris","Silene vulgaris","Silene vulgaris","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:9172281","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.02","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Sinapis arvensis","Sinapis arvensis","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3047598","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Sisymbrium altissimum","Sisymbrium altissimum","Sisymbrium altissimum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046736","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.07","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Solidago canadensis","Solidago canadensis","Solidago canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5389029","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","2.52","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Solidago gigantea","Solidago gigantea","Solidago gigantea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5389017","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","4.24","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Solidago virgaurea","Solidago virgaurea","Solidago virgaurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:6446462","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.58","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Sonchus asper","Sonchus asper","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105782","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.58","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8228544","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","1.08","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Spergularia rubra","Spergularia rubra","Spergularia rubra","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085633","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.03","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Stellaria graminea","Stellaria graminea","Stellaria graminea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384616","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.04","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Stellaria media","Stellaria media","Stellaria media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384604","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.05","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3118274","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.36","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Triglochin maritima","Triglochin maritima","Triglochin maritima","Plantae","Tracheophyta","Liliopsida","Alismatales","Juncaginaceae","gbif","GBIF:2865368","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.07","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Tripleurospermum maritimum","Tripleurospermum maritimum","Tripleurospermum maritimum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3104173","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.05","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Typha angustifolia","Typha angustifolia","Typha angustifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","gbif","GBIF:5289461","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","11.31","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Valeriana dioica","Valeriana dioica","Valeriana dioica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888762","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.11","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Valeriana officinalis","Valeriana officinalis","Valeriana officinalis","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888763","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.59","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Verbena officinalis","Verbena officinalis","Verbena officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","gbif","GBIF:2925529","seed dispersal (model)","Soons & Ozinga 2005","Median_dispersal_distance_(m)","0.08","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Geranium purpureum","Geranium purpureum","Geranium purpureum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2890541","seed dispersal (field)","Herrera 1991","Median_dispersal_distance_(m)","0.44","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Quercus ilex","Quercus ilex","Quercus ilex","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879098","seed dispersal (field)","Pons & Pausas 2007","Median_dispersal_distance_(m)","49.15","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Quercus suber","Quercus suber","Quercus suber","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879411","seed dispersal (field)","Pons & Pausas 2007","Median_dispersal_distance_(m)","49.15","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034620","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","0.58","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371825","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","0.72","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371818","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","2.29","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Calestania palustris","Calestania palustris","Thysselinum palustre","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3634395","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","1.31","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034830","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","3.12","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:6026401","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","1.9","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034681","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","0.65","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","gbif","GBIF:8211958","seed dispersal (field)","Berg 2000","Median_dispersal_distance_(m)","2.06","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Pastinaca sativa","Pastinaca sativa","Pastinaca sativa","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:8262702","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","3.05","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Selinum carvifolia","Selinum carvifolia","Selinum carvifolia","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371781","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)","0.79","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161","seed dispersal (field)","Trapp 1988","Median_dispersal_distance_(m)","1.43","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Juglans nigra","Juglans nigra","Juglans nigra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","gbif","GBIF:3054357","seed dispersal (field)","Stapanian & Smith 1986","Median_dispersal_distance_(m)","11.6","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Parmena spectabilis","Parmena spectabilis","Rubus spectabilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:2993761","seed dispersal (field)","Hickey et al. 1999","Median_dispersal_distance_(m)","494","MedianDispersalDistance","m","Tamme et al. 2014",NA
"Parthenocissus quinquefolia","Parthenocissus quinquefolia","Parthenocissus quinquefolia","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","gbif","GBIF:3039194","seed dispersal (field)","Hoppes 1988","Median_dispersal_distance_(m)","9","MedianDispersalDistance","m","Tamme et al. 2014",NA
