"reported_name","Original","Genus","Family","Order","Dispersal_syndrome","Growth_form","Seed_weight_(mg)","Seed_release_height_(m)","Seed_terminal_velocity_(m/s)","Maximum_recorded_dispersal_distance_(m)","99th_percentile_dispersal_distance_(m)","90th_percentile_dispersal_distance_(m)","Mean_dispersal_distance_(m)","Mode_dispersal_distance_(m)","Median_dispersal_distance_(m)","Maximum_dispersal_distance_(m)","Calculated_maximum_dispersal_distance_(m)","Maximum_dispersal_distance_analysis_(m)","Data_type","Region","Reference","genus","species","subspecies","genus_species","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Lepidium vulgare",NA,"Lepidium","Brassicaceae","Brassicales","ballistic","herb",NA,NA,NA,1.9,NA,NA,NA,0.2,NA,1.9,NA,1.9,"field","temperate","Thiede (pers. comm.) in Willson 1993","Lepidium","vulgare",NA,"Lepidium vulgare","Lepidium vulgare","Lepidium vulgare",NA,NA,NA,NA,NA,NA,NA
"Lupinus texensis",NA,"Lupinus","Fabaceae","Fabales","ballistic","herb",34,NA,NA,3.4,NA,NA,NA,0.2,NA,3.4,NA,3.4,"field","temperate","Schaal 1980 in Willson 1993","Lupinus","texensis",NA,"Lupinus texensis","Lupinus texensis","Lupinus texensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2963880"
"Macrozamia riedlei",NA,"Macrozamia","Zamiaceae","Cycadales","animal","tree",NA,NA,NA,24,NA,NA,NA,0.5,NA,24,NA,24,"field","tropics","Burbidge & Whelan 1982 in Hughes et al. 1994","Macrozamia","riedlei",NA,"Macrozamia riedlei","Macrozamia riedlei","Macrozamia riedlei","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","gbif","GBIF:2683584"
"Muntingia calabura",NA,"Muntingia","Muntingiaceae","Malvales","animal","tree",0.2,NA,NA,15,NA,NA,NA,NA,NA,15,NA,15,"field","tropics","Thomas et al. 1988 in Hughes et al. 1994","Muntingia","calabura",NA,"Muntingia calabura","Muntingia calabura","Muntingia calabura","Plantae","Tracheophyta","Magnoliopsida","Malvales","Muntingiaceae","gbif","GBIF:3152036"
"Papaver somniferum",NA,"Papaver","Papaveraceae","Ranunculales","wind (none)","herb",0.32,1.5,NA,15,NA,NA,NA,NA,NA,15,NA,15,"field","temperate","Ulbrich 1928 in van der Pijl 1972 in Hughes et al. 1994","Papaver","somniferum",NA,"Papaver somniferum","Papaver somniferum","Papaver somniferum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888439"
"Populus sp.",NA,"Populus","Salicaceae","Malpighiales","wind (special)","tree",NA,NA,NA,30000,NA,NA,NA,NA,NA,30000,NA,30000,"field","temperate","van der Pijl 1972 in Hughes et al. 1994","Populus","sp.",NA,"Populus sp.","Populus sp.","Populus sp.",NA,NA,NA,NA,NA,NA,NA
"Senecio jacobaea",NA,"Senecio","Asteraceae","Asterales","wind (special)","herb",0.25,1,0.37,14,NA,NA,2.5,NA,NA,14,NA,14,"field","temperate","Poole & Cairns in Harper 1977 in Cain et al. 1998, McEvoy & Cox 1987 in Cain et al. 1998","Senecio","jacobaea",NA,"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572"
"Senecio congestus",NA,"Senecio","Asteraceae","Asterales","wind (special)","herb",0.63,1,NA,2e+05,NA,NA,NA,NA,NA,2e+05,NA,2e+05,"field","temperate","van der Pijl 1972 in Hughes et al. 1994","Senecio","congestus",NA,"Senecio congestus","Senecio congestus","Senecio confertus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:7842046"
"Verbascum thapsus",NA,"Verbascum","Scrophulariaceae","Lamiales","wind (special)","herb",0.09,1.7,NA,13,NA,NA,4,NA,NA,13,NA,13,"field","temperate","Salisbury in Harper 1977 in Cain et al. 1998","Verbascum","thapsus",NA,"Verbascum thapsus","Verbascum thapsus","Verbascum thapsus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3171949"
"Achillea millefolium",NA,"Achillea","Asteraceae","Asterales","wind (none)","herb",0.2,1.2,1.47,NA,0.39,NA,NA,NA,0.07,0.39,NA,0.39,"model","temperate","Soons & Ozinga 2005","Achillea","millefolium",NA,"Achillea millefolium","Achillea millefolium","Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120060"
"Achillea ptarmica",NA,"Achillea","Asteraceae","Asterales","wind (none)","herb",0.25,1.5,2.08,NA,0.68,NA,NA,NA,0.11,0.68,NA,0.68,"model","temperate","Soons & Ozinga 2005","Achillea","ptarmica",NA,"Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120333"
"Agrostemma githago",NA,"Agrostemma","Caryophyllaceae","Caryophyllales","wind (none)","herb",12.1,1.52,4.24,NA,0.21,NA,NA,NA,0.04,0.21,NA,0.21,"model","temperate","Soons & Ozinga 2005","Agrostemma","githago",NA,"Agrostemma githago","Agrostemma githago","Agrostemma githago","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085368"
"Agrostis stolonifera",NA,"Agrostis","Poaceae","Poales","wind (special)","herb",0.06,0.7,1.11,61,NA,NA,NA,NA,NA,61,NA,61,"field","temperate","Feekes 1936 in Cain et al. 1998","Agrostis","stolonifera",NA,"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706435"
"Allium oleraceum",NA,"Allium","Amaryllidaceae","Asparagales","wind (none)","herb",NA,0.7,NA,NA,0.28,NA,NA,NA,0.06,0.28,NA,0.28,"model","temperate","Soons & Ozinga 2005","Allium","oleraceum",NA,"Allium oleraceum","Allium oleraceum","Allium oleraceum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857071"
"Allium vineale",NA,"Allium","Amaryllidaceae","Asparagales","wind (none)","herb",NA,0.7,NA,NA,0.24,NA,NA,NA,0.05,0.24,NA,0.24,"model","temperate","Soons & Ozinga 2005","Allium","vineale",NA,"Allium vineale","Allium vineale","Allium vineale","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:7792960"
"Anagallis minima",NA,"Anagallis","Primulaceae","Ericales","wind (none)","herb",0.04,0.08,1.34,NA,0.02,NA,NA,NA,0,0.02,NA,0.02,"model","temperate","Soons & Ozinga 2005","Anagallis","minima",NA,"Anagallis minima","Anagallis minima","Lysimachia minima","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:7939955"
"Apera spica-venti",NA,"Apera","Poaceae","Poales","wind (special)","herb",0.1,1,1.31,140,NA,NA,NA,NA,NA,140,NA,140,"field","temperate","Feekes 1936 in Cain et al. 1998","Apera","spica-venti",NA,"Apera spica-venti","Apera spica-venti","Apera spica-venti","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289642"
"Aquilegia vulgaris",NA,"Aquilegia","Ranunculaceae","Ranunculales","wind (none)","herb",1.5,NA,3.42,NA,0.41,NA,NA,NA,0.07,0.41,NA,0.41,"model","temperate","Soons & Ozinga 2005","Aquilegia","vulgaris",NA,"Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033191"
"Arabidopsis thaliana",NA,"Arabidopsis","Brassicaceae","Brassicales","wind (none)","herb",0.02,0.3,NA,NA,0.25,NA,NA,NA,0.05,0.25,NA,0.25,"model","temperate","Soons & Ozinga 2005","Arabidopsis","thaliana",NA,"Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3052436"
"Arabis hirsuta subsp. hirsuta",NA,"Arabis","Brassicaceae","Brassicales","wind (none)","herb",0.14,0.8,1.77,NA,0.47,NA,NA,NA,0.09,0.47,NA,0.47,"model","temperate","Soons & Ozinga 2005","Arabis","hirsuta","subsp. hirsuta","Arabis hirsuta","Arabis hirsuta","Arabis hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:9202524"
"Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","wind (none)","herb",0.07,0.3,2.01,NA,0.13,NA,NA,NA,0.03,0.13,NA,0.13,"model","temperate","Soons & Ozinga 2005","Arenaria","serpyllifolia",NA,"Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:8089871"
"Armeria maritima",NA,"Armeria","Plumbaginaceae","Caryophyllales","wind (special)","herb",0.03,0.5,NA,NA,0.28,NA,NA,NA,0.05,0.28,NA,0.28,"model","temperate","Soons & Ozinga 2005","Armeria","maritima",NA,"Armeria maritima","Armeria maritima","Armeria maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","gbif","GBIF:8930531"
"Arnica montana",NA,"Arnica","Asteraceae","Asterales","wind (special)","herb",1.67,0.5,NA,NA,0.93,NA,NA,NA,0.16,0.93,NA,0.93,"model","temperate","Soons & Ozinga 2005","Arnica","montana",NA,"Arnica montana","Arnica montana","Arnica montana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5405976"
"Artemisia vulgaris",NA,"Artemisia","Asteraceae","Asterales","wind (none)","herb",0.17,2.5,NA,NA,2.43,NA,NA,NA,0.38,2.43,NA,2.43,"model","temperate","Soons & Ozinga 2005","Artemisia","vulgaris",NA,"Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120946"
"Atriplex prostrata subsp. calotheca","Atriplex patula var. hastata","Atriplex","Amaranthaceae","Caryophyllales","wind (none)","herb",NA,1.5,NA,55,NA,NA,NA,NA,NA,55,NA,55,"field","temperate","Feekes 1936 in Cain et al. 1998","Atriplex","prostrata","subsp. calotheca","Atriplex prostrata","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786"
"Atriplex hortensis",NA,"Atriplex","Amaranthaceae","Caryophyllales","wind (special)","herb",5.6,1.5,NA,NA,1.47,NA,NA,NA,0.23,1.47,NA,1.47,"model","temperate","Soons & Ozinga 2005","Atriplex","hortensis",NA,"Atriplex hortensis","Atriplex hortensis","Atriplex hortensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083761"
"Atriplex patula",NA,"Atriplex","Amaranthaceae","Caryophyllales","wind (none)","herb",1.43,1.5,NA,NA,0.22,NA,NA,NA,0.04,0.22,NA,0.22,"model","temperate","Soons & Ozinga 2005","Atriplex","patula",NA,"Atriplex patula","Atriplex patula","Atriplex patula","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083728"
"Atriplex prostrata",NA,"Atriplex","Amaranthaceae","Caryophyllales","wind (special)","herb",1.31,1,2.49,NA,0.73,NA,NA,NA,0.12,0.73,NA,0.73,"model","temperate","Soons & Ozinga 2005","Atriplex","prostrata",NA,"Atriplex prostrata","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786"
"Barbarea vulgaris",NA,"Barbarea","Brassicaceae","Brassicales","wind (none)","herb",0.6,0.9,2.96,NA,0.28,NA,NA,NA,0.05,0.28,NA,0.28,"model","temperate","Soons & Ozinga 2005","Barbarea","vulgaris",NA,"Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5708780"
"Bellis perennis",NA,"Bellis","Asteraceae","Asterales","wind (none)","herb",0.13,0.15,NA,NA,0.09,NA,NA,NA,0.02,0.09,NA,0.09,"model","temperate","Soons & Ozinga 2005","Bellis","perennis",NA,"Bellis perennis","Bellis perennis","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3117424"
"Brassica nigra",NA,"Brassica","Brassicaceae","Brassicales","wind (none)","herb",1.3,1.34,3.84,NA,0.36,NA,NA,NA,0.08,0.36,NA,0.36,"model","temperate","Soons & Ozinga 2005","Brassica","nigra",NA,"Brassica nigra","Brassica nigra","Brassica nigra","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3042658"
"Brassica oleracea",NA,"Brassica","Brassicaceae","Brassicales","wind (none)","herb",3.94,1.2,NA,NA,0.21,NA,NA,NA,0.05,0.21,NA,0.21,"model","temperate","Soons & Ozinga 2005","Brassica","oleracea",NA,"Brassica oleracea","Brassica oleracea","Brassica oleracea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3042845"
"Brassica rapa",NA,"Brassica","Brassicaceae","Brassicales","wind (none)","herb",2,1.02,NA,NA,0.29,NA,NA,NA,0.07,0.29,NA,0.29,"model","temperate","Soons & Ozinga 2005","Brassica","rapa",NA,"Brassica rapa","Brassica rapa","Brassica rapa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7903057"
"Campanula rapunculoides",NA,"Campanula","Campanulaceae","Asterales","wind (none)","herb",0.13,0.8,NA,NA,0.77,NA,NA,NA,0.14,0.77,NA,0.77,"model","temperate","Soons & Ozinga 2005","Campanula","rapunculoides",NA,"Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410436"
"Campanula rotundifolia",NA,"Campanula","Campanulaceae","Asterales","wind (none)","herb",0.06,0.48,1.57,NA,0.35,NA,NA,NA,0.07,0.35,NA,0.35,"model","temperate","Soons & Ozinga 2005","Campanula","rotundifolia",NA,"Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410907"
"Campanula trachelium",NA,"Campanula","Campanulaceae","Asterales","wind (none)","herb",0.21,1,NA,NA,1.45,NA,NA,NA,0.25,1.45,NA,1.45,"model","temperate","Soons & Ozinga 2005","Campanula","trachelium",NA,"Campanula trachelium","Campanula trachelium","Campanula trachelium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5412014"
"Capsella bursa-pastoris",NA,"Capsella","Brassicaceae","Brassicales","wind (none)","herb",0.1,0.7,2.08,35,NA,NA,NA,NA,NA,35,NA,35,"field","temperate","Feekes 1936 in Cain et al. 1998","Capsella","bursa-pastoris",NA,"Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375388"
"Carduus acanthoides",NA,"Carduus","Asteraceae","Asterales","wind (special)","herb",2.49,2,NA,NA,14.36,NA,NA,NA,1.15,14.36,NA,14.36,"model","temperate","Soons & Ozinga 2005","Carduus","acanthoides",NA,"Carduus acanthoides","Carduus acanthoides","Carduus acanthoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3114643"
"Carduus crispus",NA,"Carduus","Asteraceae","Asterales","wind (special)","herb",1.75,1.8,NA,NA,17.25,NA,NA,NA,1.3,17.25,NA,17.25,"model","temperate","Soons & Ozinga 2005","Carduus","crispus",NA,"Carduus crispus","Carduus crispus","Carduus crispus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3114649"
"Carex extensa",NA,"Carex","Cyperaceae","Poales","wind (none)","herb",1.15,0.3,3.08,31,NA,NA,NA,NA,NA,31,NA,31,"field","temperate","Feekes 1936 in Cain et al. 1998","Carex","extensa",NA,"Carex extensa","Carex extensa","Carex extensa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726545"
"Carex echinata",NA,"Carex","Cyperaceae","Poales","wind (none)","herb",0.86,0.4,2.31,NA,0.16,NA,NA,NA,0.03,0.16,NA,0.16,"model","temperate","Soons & Ozinga 2005","Carex","echinata",NA,"Carex echinata","Carex echinata","Carex echinata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726894"
"Carex remota",NA,"Carex","Cyperaceae","Poales","wind (none)","herb",0.48,0.6,NA,NA,0.62,NA,NA,NA,0.1,0.62,NA,0.62,"model","temperate","Soons & Ozinga 2005","Carex","remota",NA,"Carex remota","Carex remota","Carex remota","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2727294"
"Carlina vulgaris",NA,"Carlina","Asteraceae","Asterales","wind (special)","herb",1.4,0.6,0.585,NA,1.67,NA,NA,NA,0.22,1.67,NA,1.67,"model","temperate","Soons & Ozinga 2005","Carlina","vulgaris",NA,"Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105380"
"Centaurea cyanus",NA,"Centaurea","Asteraceae","Asterales","wind (special)","herb",4.1,1.01,3.63,NA,0.16,NA,NA,NA,0.03,0.16,NA,0.16,"model","temperate","Soons & Ozinga 2005","Centaurea","cyanus",NA,"Centaurea cyanus","Centaurea cyanus","Centaurea cyanus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3089561"
"Centaurea jacea",NA,"Centaurea","Asteraceae","Asterales","wind (special)","herb",1.06,1.5,NA,NA,0.73,NA,NA,NA,0.13,0.73,NA,0.73,"model","temperate","Soons & Ozinga 2005","Centaurea","jacea",NA,"Centaurea jacea","Centaurea jacea","Centaurea jacea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3128547"
"Centaurea scabiosa",NA,"Centaurea","Asteraceae","Asterales","wind (special)","herb",6.5,1.5,3.34,NA,1.95,NA,NA,NA,0.29,1.95,NA,1.95,"model","temperate","Soons & Ozinga 2005","Centaurea","scabiosa",NA,"Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8087525"
"Centaurium pulchellum",NA,"Centaurium","Gentianaceae","Gentianales","wind (none)","herb",0.02,0.15,0.99,NA,0.15,NA,NA,NA,0.02,0.15,NA,0.15,"model","temperate","Soons & Ozinga 2005","Centaurium","pulchellum",NA,"Centaurium pulchellum","Centaurium pulchellum","Centaurium pulchellum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","gbif","GBIF:7439391"
"Cephalanthera damasonium",NA,"Cephalanthera","Orchidaceae","Asparagales","wind (special)","herb",NA,0.6,NA,NA,14.67,NA,NA,NA,0.95,14.67,NA,14.67,"model","temperate","Soons & Ozinga 2005","Cephalanthera","damasonium",NA,"Cephalanthera damasonium","Cephalanthera damasonium","Cephalanthera damasonium","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2795952"
"Cerastium fontanum subsp. vulgare",NA,"Cerastium","Caryophyllaceae","Caryophyllales","wind (none)","herb",NA,0.6,NA,NA,0.16,NA,NA,NA,0.03,0.16,NA,0.16,"model","temperate","Soons & Ozinga 2005","Cerastium","fontanum","subsp. vulgare","Cerastium fontanum","Cerastium fontanum","Cerastium fontanum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085458"
"Cerastium semidecandrum",NA,"Cerastium","Caryophyllaceae","Caryophyllales","wind (none)","herb",0.04,0.2,1.3,NA,0.11,NA,NA,NA,0.02,0.11,NA,0.11,"model","temperate","Soons & Ozinga 2005","Cerastium","semidecandrum",NA,"Cerastium semidecandrum","Cerastium semidecandrum","Cerastium semidecandrum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085434"
"Cichorium intybus",NA,"Cichorium","Asteraceae","Asterales","wind (none)","herb",1.03,1.5,3.01,NA,0.96,NA,NA,NA,0.16,0.96,NA,0.96,"model","temperate","Soons & Ozinga 2005","Cichorium","intybus",NA,"Cichorium intybus","Cichorium intybus","Cichorium intybus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5392252"
"Cirsium vulgare",NA,"Cirsium","Asteraceae","Asterales","wind (special)","herb",2.9,2,0.3,900,NA,NA,NA,NA,NA,900,NA,900,"field","temperate","Feekes 1936 in Cain et al. 1998","Cirsium","vulgare",NA,"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112801"
"Cirsium arvense",NA,"Cirsium","Asteraceae","Asterales","wind (special)","herb",1.3,1.2,0.26,NA,53.37,NA,NA,NA,2.02,53.37,NA,53.37,"model","temperate","Soons & Ozinga 2005","Cirsium","arvense",NA,"Cirsium arvense","Cirsium arvense","Cirsium arvense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113414"
"Cirsium dissectum",NA,"Cirsium","Asteraceae","Asterales","wind (special)","herb",2.37,1,0.51,NA,9.25,NA,NA,NA,0.77,9.25,NA,9.25,"model","temperate","Soons & Ozinga 2005","Cirsium","dissectum",NA,"Cirsium dissectum","Cirsium dissectum","Cirsium dissectum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113784"
"Cirsium palustre",NA,"Cirsium","Asteraceae","Asterales","wind (special)","herb",1.67,1.93,0.344,NA,23.49,NA,NA,NA,1.55,23.49,NA,23.49,"model","temperate","Soons & Ozinga 2005","Cirsium","palustre",NA,"Cirsium palustre","Cirsium palustre","Cirsium palustre","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113239"
"Clematis vitalba",NA,"Clematis","Ranunculaceae","Ranunculales","wind (special)","shrub",2.3,10,1.14,NA,100.09,NA,NA,NA,10.18,100.09,NA,100.09,"model","temperate","Soons & Ozinga 2005","Clematis","vitalba",NA,"Clematis vitalba","Clematis vitalba","Clematis vitalba","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033558"
"Conium maculatum",NA,"Conium","Apiaceae","Apiales","wind (none)","herb",2.8,NA,NA,NA,0.7,NA,NA,NA,0.13,0.7,NA,0.7,"model","temperate","Soons & Ozinga 2005","Conium","maculatum",NA,"Conium maculatum","Conium maculatum","Conium maculatum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034807"
"Conyza canadensis","Erigeron canadensis","Conyza","Asteraceae","Asterales","wind (special)","herb",0.05,1,0.26,2500,NA,NA,NA,NA,NA,2500,NA,2500,"field","temperate","Feekes 1936 in Cain et al. 1998","Conyza","canadensis",NA,"Conyza canadensis","Conyza canadensis","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3146791"
"Crepis biennis",NA,"Crepis","Asteraceae","Asterales","wind (special)","herb",1.23,1.2,0.68,350,NA,NA,NA,NA,NA,350,NA,350,"field","temperate","Feekes 1936 in Cain et al. 1998","Crepis","biennis",NA,"Crepis biennis","Crepis biennis","Crepis biennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403531"
"Crepis capillaris","Crepis virens","Crepis","Asteraceae","Asterales","wind (special)","herb",NA,NA,NA,650,NA,NA,NA,NA,NA,650,NA,650,"field","temperate","Feekes 1936 in Cain et al. 1998","Crepis","capillaris",NA,"Crepis capillaris","Crepis capillaris","Crepis capillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403304"
"Crepis paludosa",NA,"Crepis","Asteraceae","Asterales","wind (special)","herb",0.57,0.8,0.81,NA,2.2,NA,NA,NA,0.31,2.2,NA,2.2,"model","temperate","Soons & Ozinga 2005","Crepis","paludosa",NA,"Crepis paludosa","Crepis paludosa","Crepis paludosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403296"
"Descurainia sophia",NA,"Descurainia","Brassicaceae","Brassicales","wind (none)","herb",0.1,0.7,NA,NA,0.17,NA,NA,NA,0.04,0.17,NA,0.17,"model","temperate","Soons & Ozinga 2005","Descurainia","sophia",NA,"Descurainia sophia","Descurainia sophia","Descurainia sophia","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3044318"
"Digitalis purpurea",NA,"Digitalis","Plantaginaceae","Lamiales","wind (none)","herb",0.1,1.5,NA,NA,1.15,NA,NA,NA,0.19,1.15,NA,1.15,"model","temperate","Soons & Ozinga 2005","Digitalis","purpurea",NA,"Digitalis purpurea","Digitalis purpurea","Digitalis purpurea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5414995"
"Drosera rotundifolia",NA,"Drosera","Droseraceae","Caryophyllales","wind (none)","herb",0.02,0.2,NA,NA,0.62,NA,NA,NA,0.08,0.62,NA,0.62,"model","temperate","Soons & Ozinga 2005","Drosera","rotundifolia",NA,"Drosera rotundifolia","Drosera rotundifolia","Drosera rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","gbif","GBIF:3191030"
"Epilobium angustifolium",NA,"Epilobium","Onagraceae","Myrtales","wind (special)","herb",0.26,3,0.07,10000,NA,NA,NA,NA,NA,10000,NA,10000,"field","temperate","Feekes 1936 in Cain et al. 1998","Epilobium","angustifolium",NA,"Epilobium angustifolium","Epilobium angustifolium","Epilobium angustifolium",NA,NA,NA,NA,NA,"itis","ITIS:566019"
"Epilobium hirsutum",NA,"Epilobium","Onagraceae","Myrtales","wind (special)","herb",0.1,1.5,0.2,3800,NA,NA,NA,NA,NA,3800,NA,3800,"field","temperate","Feekes 1936 in Cain et al. 1998","Epilobium","hirsutum",NA,"Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3189172"
"Epilobium palustre",NA,"Epilobium","Onagraceae","Myrtales","wind (special)","herb",0.04,0.5,0.14,7300,NA,NA,NA,NA,NA,7300,NA,7300,"field","temperate","Feekes 1936 in Cain et al. 1998","Epilobium","palustre",NA,"Epilobium palustre","Epilobium palustre","Epilobium palustre","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3189080"
"Epilobium ciliatum",NA,"Epilobium","Onagraceae","Myrtales","wind (special)","herb",0.05,NA,0.19,NA,179,NA,NA,NA,3.65,179,NA,179,"model","temperate","Soons & Ozinga 2005","Epilobium","ciliatum",NA,"Epilobium ciliatum","Epilobium ciliatum","Epilobium ciliatum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:9188840"
"Epilobium montanum",NA,"Epilobium","Onagraceae","Myrtales","wind (special)","herb",0.1,0.8,0.18,NA,49.64,NA,NA,NA,1.59,49.64,NA,49.64,"model","temperate","Soons & Ozinga 2005","Epilobium","montanum",NA,"Epilobium montanum","Epilobium montanum","Epilobium montanum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3664083"
